,hsa-let-7c,hsa-let-7e,hsa-mir-1-1,hsa-mir-1-2,hsa-mir-106a,hsa-mir-10a,hsa-mir-10b,hsa-mir-1180,hsa-mir-127,hsa-mir-128-1,hsa-mir-128-2,hsa-mir-1287,hsa-mir-129-2,hsa-mir-134,hsa-mir-141,hsa-mir-142,hsa-mir-146a,hsa-mir-146b,hsa-mir-148a,hsa-mir-150,hsa-mir-155,hsa-mir-17,hsa-mir-181c,hsa-mir-181d,hsa-mir-182,hsa-mir-183,hsa-mir-187,hsa-mir-18a,hsa-mir-200b,hsa-mir-200c,hsa-mir-203a,hsa-mir-20a,hsa-mir-20b,hsa-mir-210,hsa-mir-215,hsa-mir-218-2,hsa-mir-23b,hsa-mir-27b,hsa-mir-29a,hsa-mir-29b-1,hsa-mir-29b-2,hsa-mir-29c,hsa-mir-3065,hsa-mir-31,hsa-mir-335,hsa-mir-34c,hsa-mir-363,hsa-mir-379,hsa-mir-381,hsa-mir-409,hsa-mir-410,hsa-mir-429,hsa-mir-432,hsa-mir-451a,hsa-mir-4661,hsa-mir-4772,hsa-mir-485,hsa-mir-487b,hsa-mir-508,hsa-mir-539,hsa-mir-582,hsa-mir-584,hsa-mir-629,hsa-mir-651,hsa-mir-675,hsa-mir-708,hsa-mir-889,hsa-mir-9-1,hsa-mir-9-2,hsa-mir-9-3,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-93,hsa-mir-96,hsa-mir-99a,hsa-mir-135b,hsa-mir-200a
TCGA-OU-A5PI,9.319385025,11.76886612,2.873215133,2.329482144,2.090631252,14.06381803,17.32868208,4.159621113,11.71985051,4.235001778,4.264084711,0.969845624,2.024184199,10.42330918,1.104576194,6.606416258,2.090631252,6.239960616,15.42365731,3.791360983,3.687846788,6.214112835,4.931958381,3.960806928,13.32693552,10.5386281,0.253052571,0.468272589,0.655514867,3.016829143,8.21630258,6.160985071,4.374885907,8.108186105,0.821224474,5.949002228,7.152813771,7.678106296,12.02340471,10.3512391,10.35694504,9.628771011,3.1474324,0.253052571,5.837331682,4.112426745,2.534348768,11.36355092,8.242111507,8.267466831,6.447525656,0,5.870804638,4.112426745,0.468272589,0.468272589,6.258143824,6.176365103,12.15701778,8.229264756,2.435548857,3.730147889,3.115873072,1.446539447,3.3777597,4.630757307,8.695413703,9.435387828,9.47323929,9.448115644,11.01134254,11.02361836,10.34274416,4.175015616,7.762052133,0.468272589,0
TCGA-BT-A2LA,12.57485439,10.01284788,1.729508396,1.818321721,5.651648513,13.82887679,17.50889594,7.182224249,6.324993484,7.243646643,7.19886093,4.333485562,8.964639984,5.209670884,4.033053184,7.100469284,3.578825828,6.754405749,13.07790891,3.70064612,6.975692682,10.94115518,8.345453018,6.041158726,14.02615991,13.07396873,3.299167861,5.716632672,5.304959478,5.602478289,10.05372058,10.03964749,7.09381323,9.463424926,2.19519072,5.849007316,8.17934617,10.06850665,9.567979244,2.438755398,2.694775914,8.003481679,5.722397713,3.417610999,8.00938832,4.240124247,6.017907637,8.401326965,2.912137646,1.178462247,2.990672645,3.299167861,0.507026351,9.976825144,3.100998161,0.275673395,0.706355496,0.507026351,1.178462247,0.706355496,6.820400546,5.379824572,6.458789526,3.329702568,4.421170573,5.098803266,3.135974933,12.40159429,12.3839136,12.3977715,15.47520861,15.47092089,14.21023395,4.868632347,11.28984805,5.485306383,6.768405834
TCGA-BT-A2LD,9.249418103,10.30479055,3.366217007,3.213675292,1.87204033,9.637511225,11.96211072,2.878850481,8.23100028,5.553591451,5.576115332,3.190504876,0.915966738,6.841249175,8.157476464,9.167239617,6.00254409,8.286006119,13.76206489,8.41592733,6.665446155,7.722325676,3.366217007,2.088047269,13.62430773,12.2979765,2.990384929,3.143016695,7.056780087,11.40233416,9.316169701,6.865225006,0.529488151,6.206880014,1.685753158,3.143016695,8.905225971,9.678422649,13.04071885,7.021106757,7.067948175,9.96431617,4.771324815,2.591054146,3.761654411,1.309208208,0.915966738,9.709827307,5.359496467,3.281034383,4.570587461,5.637373265,2.037001202,5.902715146,1.685753158,1.220484742,1.392790549,2.137348426,2.819673497,1.617898854,5.122981805,8.09801525,4.954406696,0.529488151,9.170943808,4.020054896,4.468335027,7.119463659,7.185408714,7.142285195,10.77580325,10.76604024,11.2662855,4.862106671,8.271587739,1.024772844,6.82817215
TCGA-DK-A3IU,8.745350896,10.3525569,4.79122182,4.643358432,0.773830954,10.05239562,12.0405271,2.092578891,7.315478332,4.004307672,4.282061956,2.229889657,0.773830954,5.004025629,6.722809047,9.328236863,5.580358526,7.671448979,12.33747452,9.745578947,7.515650557,7.851602266,3.161856249,1.88645455,11.67823541,10.18022236,0.888901024,2.272901681,6.305212524,10.73743908,8.467835853,6.571676992,1.187544169,6.000689534,0.648781099,2.644444689,9.533134443,9.765716918,12.24405125,5.363693486,5.417396045,9.304788568,1.57891505,2.885229951,4.228441617,2.139816211,0.995467152,7.95013005,3.660014268,2.043742749,2.708511944,3.451178927,1.09469955,4.60178992,0.360557559,2.644444689,0.773830954,0.511854595,1.993195014,0.888901024,5.402947001,7.189251112,4.282061956,0.191513381,6.563038648,2.577399339,1.274773336,4.017013793,3.925627307,4.126597353,11.96467033,11.95593294,10.31398133,1.993195014,7.816599892,1.645891608,6.271144591
TCGA-GV-A3JW,7.511637985,10.64965911,3.272783167,3.121397084,3.756622075,10.71846079,12.81556555,4.077755543,7.743201835,6.001410424,6.203406287,4.969372245,0.972904356,6.06503288,9.58470035,7.893882691,3.704301744,4.780134949,14.55542286,4.82982171,4.374145657,9.130260871,3.650012347,1.959162909,12.81421617,12.09043812,9.715191439,3.903079062,10.65397588,11.65568233,15.61144544,8.056627046,1.959162909,9.489362866,1.289351716,3.039297748,9.196863617,10.51470738,11.36973877,6.625313732,6.618261638,12.36854712,3.756622075,2.859596108,5.232120988,0.566955399,1.289351716,8.852296481,4.077755543,2.414824235,4.471274033,9.368486855,2.654282693,9.266177464,2.127553054,0.972904356,1.959162909,0.972904356,1.548720697,1.289351716,6.666917353,8.27189291,5.501064474,1.289351716,7.059434443,2.654282693,3.903079062,5.355992101,5.304201114,5.1946839,12.64400278,12.65287289,12.85378342,5.268611164,6.06503288,1.959162909,10.02215695
TCGA-BT-A3PJ,9.857735531,9.934161207,0.779036942,1.052399895,3.508653913,12.8467311,13.51895974,4.320021974,9.257606807,6.745825156,6.843500998,3.206928078,1.654414459,7.890415878,9.090505015,10.55100822,7.013029509,8.060632684,13.22173077,8.252360216,7.120860303,9.516445261,4.240285017,2.077903001,11.42504017,11.36931886,4.345650783,4.889443656,6.856930119,12.53331048,12.83008888,8.834048239,2.40487806,10.70466989,1.950072319,2.75015133,8.207637552,9.872136052,12.43264667,7.327908062,7.314991976,9.10558434,4.003213448,8.4689841,6.635868827,3.028541925,1.052399895,10.29722471,5.942530973,3.596668279,4.467380374,5.810721179,2.89605131,8.68641363,4.035066957,2.671267327,2.077903001,2.40487806,1.052399895,2.303902295,7.268852742,9.474226661,7.231536072,2.963817001,6.465160303,4.889443656,4.44384233,4.066232333,4.320021974,4.09673868,13.27068399,13.27355547,12.71558535,3.149882198,8.275879471,2.499246367,8.174055945
TCGA-FD-A3SJ,9.566977703,10.27679328,6.038668432,6.07053052,2.870340847,13.21013369,13.00182948,3.970849146,7.974070126,5.08873054,4.972118126,3.457116992,0.666482113,5.948951107,9.506824772,8.829418545,5.137679137,8.425944504,12.13682699,7.056578716,5.125596801,7.977435383,4.274257039,2.61776465,10.03903482,9.71341879,6.396353379,3.621004145,9.535360748,12.27809714,10.86022922,7.606754216,4.91007553,6.59345057,0.526468503,3.418023536,9.278637893,10.28139528,11.20936103,7.07240116,7.040580817,9.909597271,3.336507488,3.034422806,5.657395172,2.43402367,3.315387984,8.446123995,3.638115785,2.749573097,3.181734367,8.399846421,1.805536806,5.415862079,1.386697844,0.794102235,1.921889863,2.029555364,0.794102235,1.386697844,6.760982539,5.339460494,5.982833695,1.214868348,6.937226568,4.722264634,3.315387984,6.666155277,6.634530381,6.686859854,11.51542791,11.52408332,12.41907049,2.029555364,8.115182428,1.019770934,10.06001821
TCGA-GV-A3QF,5.435837183,10.96534434,1.672298606,2.60964009,3.820007463,12.04183107,13.20294678,5.227035187,7.574094588,6.939641023,6.727737656,5.335210395,0,6.51420279,10.74771133,10.40706123,8.189331829,6.96512025,11.02258791,5.741285897,4.879404994,10.07880033,3.577259743,1.672298606,13.84408603,13.08333983,9.142880073,5.760815975,10.37256733,13.89012132,6.737627874,9.98642805,5.925620163,10.56259463,2.215792579,3.173096564,7.996878031,10.20980198,10.52025012,6.697653599,6.614220467,10.33397248,4.728876617,3.892623684,7.416789963,0.78999878,3.892623684,8.496503347,4.468787196,2.772431925,4.26504939,8.000989777,2.918703173,12.62201511,3.285236632,2.772431925,2.215792579,1.297571193,0.78999878,2.215792579,9.093673484,9.937924982,4.647281234,3.74354168,6.635535446,0.78999878,3.820007463,4.879404994,5.015700764,4.151265255,13.73984434,13.73838279,14.1426754,5.361032685,2.60964009,0.78999878,10.39851477
TCGA-GC-A3YS,9.028756259,9.754707406,2.559188314,2.401095227,2.185224641,11.18683454,12.55421751,5.49325779,9.444539241,6.268620801,6.363850064,3.347070174,0.166514932,7.520890302,8.047281814,9.609977083,6.439010294,7.513181384,12.92123705,6.103887215,5.949650764,8.991096333,4.731720567,3.495297983,11.94759929,10.72392075,0.794157146,3.993309068,7.481927069,11.50150338,12.7936799,8.587939089,4.209078216,9.210752142,0.451047014,2.903854088,8.865413251,10.0780579,11.56492372,6.824154055,6.853450755,8.847515818,4.35421898,4.870929899,5.543319804,3.414835733,2.646345172,10.07298701,5.938181939,3.804101379,4.371376388,6.492917477,2.728535075,5.26901833,1.835610446,1.622859151,2.806294151,2.2608278,1.230070176,2.332665547,6.238547836,5.48539939,6.634659579,2.145883493,7.310171054,6.085810476,4.62846648,5.750944175,5.757484446,5.932413154,12.46802551,12.46015338,13.25490808,3.51086561,7.509311423,2.806294151,8.424431569
TCGA-BT-A42E,6.35639913,9.699453375,1.862272048,1.435903773,3.179899698,11.87763066,13.74786977,4.715489821,6.103403429,5.995349017,5.991838377,2.879102688,0.207951558,5.447509969,10.92242992,11.05355469,6.773176218,9.763133886,14.01330741,8.419595124,7.559237797,10.16806779,3.761157808,2.417194698,13.30264081,12.61959405,2.089493405,4.553471405,8.043325643,13.57572247,16.56973954,9.670924307,4.454921795,11.60815531,1.163740235,1.592449861,8.67898303,10.17794937,11.31363142,8.03311454,7.988011728,8.684430354,4.899114179,1.260279837,3.761157808,5.616609094,2.089493405,7.419888837,3.793780941,1.516299118,1.435903773,6.129198205,1.060275014,9.762361421,0.551039511,2.909191493,0.551039511,0.828010017,2.239130987,0.696161227,4.636753834,7.348940958,6.550255277,2.330908276,9.449512551,8.587162855,2.141116554,7.952331644,7.950524264,7.881059226,13.19168644,13.20591309,13.79363919,4.698360518,4.465085268,4.161897032,8.252154429
