"mRNA","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000110080.20",-0.737849838844048,2.58341332879375,-5.06029102073756,1.1021220569539e-06,0.0266933962194234,4.83814460892349
"ENSG00000147324.11",0.587222376675753,3.13145138692137,4.51205026654525,1.21143678855651e-05,0.0569044840639153,2.81676555762584
"ENSG00000108375.13",0.569183860886487,1.588550050472,4.37314040589243,2.15687343271586e-05,0.0569044840639153,2.33202924305404
"ENSG00000187017.17",0.85521027280289,2.08213010593424,4.3466542437722,2.40415317547898e-05,0.0569044840639153,2.2409196763518
"ENSG00000173846.13",-0.538738179661822,2.76547820115864,-4.33714998944512,2.49935097698427e-05,0.0569044840639153,2.20832988706864
"ENSG00000015133.19",0.53840615481406,2.45251754733771,4.33577488632226,2.51342057810245e-05,0.0569044840639153,2.20361925280915
"ENSG00000131459.13",-0.929221925348821,2.03736696745227,-4.32894538348031,2.58443156359648e-05,0.0569044840639153,2.18024076959872
"ENSG00000272636.4",0.819915984696102,1.88519443553887,4.22563152631698,3.9241269681135e-05,0.0792019626397574,1.83006906712715
"ENSG00000165238.16",0.711462315301591,1.83751996460864,4.05720075637666,7.63244181002653e-05,0.0933663902470351,1.27344852824775
"ENSG00000075275.18",0.717561872150862,2.98843666015057,4.05403286870812,7.72709261561186e-05,0.0933663902470351,1.26315147108394
"ENSG00000161714.12",-0.712699520366267,2.84420189191511,-4.01557998330902,8.96903932194802e-05,0.0987409692625369,1.13867465427556
"ENSG00000174718.12",0.63007864911045,3.44073755477541,3.96829563600267,0.000107578828393111,0.108564967653381,0.986913368308907
"ENSG00000145103.15",0.70019619929124,1.94558859917442,3.93411369166441,0.000122573731617999,0.118749431191518,0.878106452489516
"ENSG00000149557.14",-0.627037913164667,1.25069441976519,-3.87302536757544,0.000154448352203215,0.119529779528325,0.685550758456164
"ENSG00000140285.12",-0.55485683127925,0.814026225157526,-3.76357274755096,0.00023214415274194,0.145442591415839,0.346702688158241
"ENSG00000287059.1",0.759637411539361,0.948990590436413,3.70287247715561,0.000289929124418955,0.149646526075951,0.162231493409884
"ENSG00000186891.14",0.961596653617654,2.81981492287207,3.69516075899757,0.000298176337838059,0.149646526075951,0.138972879413467
"ENSG00000187479.8",-0.711134132595869,2.51122641564766,-3.68633498486312,0.000307886927628636,0.149646526075951,0.112403611575917
"ENSG00000178026.13",0.579916430730073,2.39763986580647,3.6817872280133,0.000313006516144018,0.149646526075951,0.0987335487032714
"ENSG00000184349.13",-0.59838858145674,2.14931758043376,-3.66413831588008,0.000333646259624334,0.149646526075951,0.0458156356099586
"ENSG00000150281.7",0.546214187196426,2.44542724092513,3.64504326852353,0.000357421411554935,0.151872747155448,-0.0111999874388307
"ENSG00000143878.10",-0.614950242254927,6.43877333441532,-3.54671431200845,0.000507322854841677,0.175719484566845,-0.300850728543516
"ENSG00000174469.23",0.53032710746557,0.68986265867863,3.54238912116895,0.000515114921727747,0.175719484566845,-0.313438851686517
"ENSG00000260025.1",-0.621339912286498,2.42226961364714,-3.50122999881249,0.000595110724502783,0.179624088032915,-0.432580752847992
"ENSG00000103222.20",0.506319696098114,3.86987469733446,3.47218632521864,0.000658429329272813,0.179624088032915,-0.515943736519826
"ENSG00000136244.12",-0.649773319045492,1.24918394778743,-3.47130442460587,0.000660447447271726,0.179624088032915,-0.51846581871188
"ENSG00000144749.14",0.792244030269785,3.28519783020088,3.46252334432181,0.000680860889577404,0.179624088032915,-0.543548531700614
"ENSG00000137936.18",-0.514186957885506,2.31324573397029,-3.44198560108845,0.000730938980158142,0.179624088032915,-0.602002869583032
"ENSG00000070404.10",-0.825050015162987,3.31152894072337,-3.43905709481557,0.000738354731643246,0.179624088032915,-0.610313875748745
"ENSG00000175785.13",0.64817953583586,1.27679211021883,3.42681886692287,0.000770114816107513,0.179624088032915,-0.644980418730781
