"","hsa-let-7e","hsa-mir-106a","hsa-mir-10a","hsa-mir-128-1","hsa-mir-128-2","hsa-mir-141","hsa-mir-146a","hsa-mir-146b","hsa-mir-150","hsa-mir-155","hsa-mir-17","hsa-mir-182","hsa-mir-183","hsa-mir-18a","hsa-mir-200c","hsa-mir-20a","hsa-mir-20b","hsa-mir-215","hsa-mir-29a","hsa-mir-335","hsa-mir-34c","hsa-mir-363","hsa-mir-381","hsa-mir-4661","hsa-mir-4772","hsa-mir-485","hsa-mir-629","hsa-mir-651","hsa-mir-708","hsa-mir-9-1","hsa-mir-9-2","hsa-mir-9-3","hsa-mir-92a-1","hsa-mir-92a-2","hsa-mir-93","hsa-mir-96"
"TCGA-OU-A5PI",11.7688661174888,2.0906312518541,14.0638180336501,4.23500177780634,4.26408471116911,1.10457619440723,2.0906312518541,6.23996061577533,3.79136098336227,3.68784678773653,6.21411283466545,13.3269355202797,10.5386281032632,0.46827258933039,3.01682914255602,6.16098507089921,4.37488590652067,0.821224473554884,12.023404705457,5.83733168198854,4.11242674532507,2.53434876779349,8.24211150691171,0.46827258933039,0.46827258933039,6.25814382423621,3.1158730719188,1.4465394468029,4.63075730683708,9.43538782756131,9.47323929007354,9.44811564447529,11.0113425420016,11.0236183559051,10.3427441587664,4.17501561600844
"TCGA-G2-A2EC",9.63003171988637,1.58211999756685,13.9920941304038,4.35851160542812,4.24388626089538,9.6434545867687,6.39055356053922,5.86793198745032,8.51818690987525,7.67322271977204,7.63961142871833,13.273540597374,11.2915045093138,2.14353970538641,13.0715477478666,6.42683319874984,2.51105455251129,1.64916936167439,12.7886119024809,3.61499140715562,1.4378796812214,1.35996470566593,4.97641684215132,1.35996470566593,1.77458720285114,2.09626623916856,5.627256977181,2.47454792403546,3.52859807223957,5.05269345929512,4.95006797804739,4.96987458058187,10.782239311426,10.790732264497,11.952681475646,3.49253824581625
"TCGA-G2-A2EJ",8.86995040316321,1.63429215284146,10.9477707575983,4.38135515933374,4.15662466930563,10.6897483356352,6.08828273792738,7.99279549803857,6.18086359951228,6.9675927865257,9.45481203276582,13.6868476954014,11.1410654615657,3.83059587522115,13.584611060707,7.76850804775169,0.679193164673736,2.29515964644905,13.2204143462496,3.73611700389418,3.86076221653847,0.927414843073969,5.39866445481329,2.92859374577745,4.0296040383838,0,6.22791349053994,1.7676437820217,5.96872355536128,10.4088708420686,10.3921858921587,10.4165069836851,12.7453802348433,12.7364468457073,11.3198330300427,3.18852562782391
"TCGA-G2-A2EF",9.63771444221595,2.17851164583661,12.8800606666783,5.34614882479074,5.28220914811694,7.83594092706676,7.03885243727731,9.66460852315324,6.60150367385329,10.2844288702369,10.2659518395447,12.42119286311,10.810474760461,5.80633135334543,10.8489153413253,9.21456394286237,2.26926300154432,1.30423415797475,14.7900848231435,6.74281194881086,1.97784882855966,2.58409397737634,2.84237749977075,1.7446958702469,3.67312784825377,0.912048904203974,5.95043080653826,2.08166617410582,4.14995842837294,8.20266921131811,8.18237785543438,8.19545501879744,13.5368971301755,13.5313926186958,12.7704838474629,3.2062285771031
"TCGA-G2-A2EK",9.05148900324951,1.10173074644147,12.0130909274188,3.88297957374611,3.9646787336887,7.39926581457959,6.75194821148256,6.85314745288058,8.23360498132607,7.41791843863729,7.37622788754363,12.5405562682078,11.0224107096793,2.73011603480015,12.2349190381672,7.06555002779725,2.02017146994542,0.653573699394162,13.1279954329728,4.98453065708983,1.91448415893242,1.63283587411269,5.30343493473595,0.563206951743936,1.54111830402469,1.16454816876931,5.26453354110232,1.49297603772638,3.38618890876436,5.58181561898663,5.53800307534666,5.59327768981985,10.5658529623368,10.5667617196603,11.3923595844959,2.83038514465197
"TCGA-E5-A2PC",11.0738886892713,3.33022106250987,12.6762409101549,6.21499134748886,6.2361577747807,9.41298461651256,5.19698635472727,7.41700449253431,4.8981980958878,5.88053985272025,8.79709322875921,12.3469075855633,11.5178584224328,2.57059286487959,13.0154088797993,8.01989465745402,3.20699088534694,1.06894384796428,11.350979411299,7.63785911892154,1.54661990509957,2.69810376940525,3.51475589661849,2.43070998912512,0.631288711976823,1.40427371267284,5.88724559962235,3.44374852719174,3.20699088534694,3.29030260128875,2.97486957217822,2.63575648045652,12.7857740155864,12.780211814803,11.3465763848818,4.14917195881846
"TCGA-FD-A3B4",8.66143701147159,0.797199789558928,10.9814333661898,4.13740556470987,4.16733127039331,7.17295766291016,4.69478037044571,6.90194380329631,7.53760693220327,6.37948755719082,7.78687046097664,11.4165506552423,9.10921627223689,1.50807972661851,10.1876442029781,6.30067200926056,0.94272542835584,2.28482650567808,11.8693812170419,4.19664874442865,2.04800246128699,0.94272542835584,5.18629390023268,0.635330921933027,1.68399910783706,1.30769022673695,4.9741228318808,1.59871916533838,5.57473991987262,6.93276134271015,6.82424064370567,6.9479267159665,11.3791794889003,11.3959633756601,10.4726254250935,1.68399910783706
"TCGA-G2-A3IB",8.71658277821006,2.70994256891238,11.1462411754346,5.13132562182973,5.57649804241443,9.93039504564704,3.77290059985414,7.23515091014276,4.07356474056229,5.75632976992608,8.84137508517577,11.8248303476819,10.9898778749789,4.4321659740287,12.5111925157782,8.12380929916764,2.05914896578179,0.841450676179933,12.0184488501119,2.87475900491623,0.841450676179933,1.36943968152002,3.77290059985414,0.841450676179933,0,0.841450676179933,7.00548977160463,2.52383917777181,5.19508340816714,6.67746477471359,6.57334813618062,6.71056494972451,12.5944561083094,12.5768003146076,11.9476224955891,3.49749255117461
"TCGA-G2-A3IE",9.73022343986628,2.95283748964177,12.7222075658492,6.15970799023974,6.14728496049147,10.1861586812946,7.91825754784742,6.12211329688908,8.10006304148621,6.25541932432902,9.29759819958054,13.3199548792436,11.901140721997,5.19189576962339,13.525164177223,7.44684661308841,1.50534168669337,2.56164018327472,13.2513270505396,7.0988745498563,1.15441859426246,1.15441859426246,5.41556162083074,2.22584220844137,2.56164018327472,1.50534168669337,6.93509043425713,3.51355921512902,8.52182773952133,3.34973269904568,4.23083466910711,3.58898633130308,12.396959050954,12.4332281653338,12.5459151661875,4.83712526426683
"TCGA-DK-A3IV",8.93650985143983,2.6336462616778,15.8904384482273,5.28206214164324,5.24191380335972,10.1203230093922,8.1698914533832,7.1775552994206,11.3458272098969,8.25996802418839,9.13965575472179,12.5959516997449,10.5699146712467,3.25445133856162,12.4365314243142,8.22370776873066,4.37544388547925,6.45996249830146,13.5678633456589,5.3211233876819,1.30353996237048,3.29425710715935,4.23932349123085,0.951883912267665,2.6336462616778,1.13839968359496,4.94956752168255,1.22333172216324,2.88894621024742,6.50306393699597,6.6173171012692,6.65411308389528,12.9101729291545,12.9224297404513,12.3635315615277,3.25445133856162
