,hsa-let-7c,hsa-let-7e,hsa-mir-1-1,hsa-mir-1-2,hsa-mir-106a,hsa-mir-10a,hsa-mir-10b,hsa-mir-1180,hsa-mir-127,hsa-mir-128-1,hsa-mir-128-2,hsa-mir-1287,hsa-mir-129-2,hsa-mir-134,hsa-mir-141,hsa-mir-142,hsa-mir-146a,hsa-mir-146b,hsa-mir-148a,hsa-mir-150,hsa-mir-155,hsa-mir-17,hsa-mir-181c,hsa-mir-181d,hsa-mir-182,hsa-mir-183,hsa-mir-187,hsa-mir-18a,hsa-mir-200b,hsa-mir-200c,hsa-mir-203a,hsa-mir-20a,hsa-mir-20b,hsa-mir-210,hsa-mir-215,hsa-mir-218-2,hsa-mir-23b,hsa-mir-27b,hsa-mir-29a,hsa-mir-29b-1,hsa-mir-29b-2,hsa-mir-29c,hsa-mir-3065,hsa-mir-31,hsa-mir-335,hsa-mir-34c,hsa-mir-363,hsa-mir-379,hsa-mir-381,hsa-mir-409,hsa-mir-410,hsa-mir-429,hsa-mir-432,hsa-mir-451a,hsa-mir-4661,hsa-mir-4772,hsa-mir-485,hsa-mir-487b,hsa-mir-508,hsa-mir-539,hsa-mir-582,hsa-mir-584,hsa-mir-629,hsa-mir-651,hsa-mir-675,hsa-mir-708,hsa-mir-889,hsa-mir-9-1,hsa-mir-9-2,hsa-mir-9-3,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-93,hsa-mir-96,hsa-mir-99a,hsa-mir-135b,hsa-mir-200a
TCGA-OU-A5PI,9.319385025,11.76886612,2.873215133,2.329482144,2.090631252,14.06381803,17.32868208,4.159621113,11.71985051,4.235001778,4.264084711,0.969845624,2.024184199,10.42330918,1.104576194,6.606416258,2.090631252,6.239960616,15.42365731,3.791360983,3.687846788,6.214112835,4.931958381,3.960806928,13.32693552,10.5386281,0.253052571,0.468272589,0.655514867,3.016829143,8.21630258,6.160985071,4.374885907,8.108186105,0.821224474,5.949002228,7.152813771,7.678106296,12.02340471,10.3512391,10.35694504,9.628771011,3.1474324,0.253052571,5.837331682,4.112426745,2.534348768,11.36355092,8.242111507,8.267466831,6.447525656,0,5.870804638,4.112426745,0.468272589,0.468272589,6.258143824,6.176365103,12.15701778,8.229264756,2.435548857,3.730147889,3.115873072,1.446539447,3.3777597,4.630757307,8.695413703,9.435387828,9.47323929,9.448115644,11.01134254,11.02361836,10.34274416,4.175015616,7.762052133,0.468272589,0
TCGA-G2-A2EC,8.144043922,9.63003172,4.589435368,4.492348978,1.582119998,13.99209413,14.68784354,2.996267794,8.968927221,4.358511605,4.243886261,5.627256977,1.277599779,7.900063758,9.643454587,9.706053441,6.390553561,5.867931987,13.50312186,8.51818691,7.67322272,7.639611429,5.943335693,3.254914472,13.2735406,11.29150451,5.205302694,2.143539705,8.82863326,13.07154775,11.40724643,6.426833199,2.511054553,5.412480662,1.649169362,3.095767993,9.657771669,10.65228907,12.7886119,6.597813875,6.599933858,11.91916858,4.758391984,0.513294667,3.614991407,1.437879681,1.359964706,10.25497622,4.976416842,3.021793639,5.614730631,7.126518764,2.803699039,9.782475081,1.359964706,1.774587203,2.096266239,2.743603935,2.916863541,1.713240502,8.600430443,6.378254724,5.627256977,2.474547924,6.478445578,3.528598072,4.743126883,5.052693459,4.950067978,4.969874581,10.78223931,10.79073226,11.95268148,3.492538246,6.610487321,2.712590938,7.914614767
TCGA-G2-A2EJ,5.398664455,8.869950403,0.379201732,1.323721116,1.634292153,10.94777076,13.84770238,3.488147347,7.855347553,4.381355159,4.156624669,3.703197179,0.679193165,6.714453457,10.68974834,9.264842014,6.088282738,7.992795498,12.16974574,6.1808636,6.967592787,9.454812033,3.526289457,1.323721116,13.6868477,11.14106546,2.984461936,3.830595875,9.415340774,13.58461106,15.75918361,7.768508048,0.679193165,10.28815562,2.295159646,3.038247053,9.992804302,10.27351354,13.22041435,6.818023537,6.676796853,9.410250386,4.481825,5.784292484,3.736117004,3.860762217,0.927414843,8.812266175,5.398664455,2.002240928,2.538525251,7.261297995,1.323721116,7.125017046,2.928593746,4.029604038,0,1.634292153,0.379201732,1.323721116,8.200193544,9.953977234,6.227913491,1.767643782,5.947797027,5.968723555,3.038247053,10.40887084,10.39218589,10.41650698,12.74538023,12.73644685,11.31983303,3.188525628,3.703197179,7.161828241,10.40503756
TCGA-G2-A2EF,7.978933466,9.637714442,0.667039196,0.371731697,2.178511646,12.88006067,14.24564172,4.196953986,6.823645026,5.346148825,5.282209148,4.488970214,2.511590494,5.654667044,7.835940927,10.5875078,7.038852437,9.664608523,12.51827626,6.601503674,10.28442887,10.26595184,4.598038501,3.337862774,12.42119286,10.81047476,1.977848829,5.806331353,5.058731146,10.84891534,9.317169942,9.214563943,2.269263002,10.09389028,1.304234158,2.719008159,8.561427491,9.48277505,14.79008482,9.190817147,9.196609941,10.63280847,3.379200623,8.099778524,6.742811949,1.977848829,2.584093977,7.563000708,2.8423775,1.612275584,1.865976996,3.379200623,1.121427256,8.309440233,1.74469587,3.673127848,0.912048904,0.912048904,0.912048904,1.865976996,8.629388191,7.006240589,5.950430807,2.081666174,5.120978297,4.149958428,2.354642288,8.202669211,8.182377855,8.195455019,13.53689713,13.53139262,12.77048385,3.206228577,6.100099005,1.74469587,4.966810749
TCGA-G2-A2EK,10.43481161,9.051489003,5.584689685,5.555688073,1.101730746,12.01309093,13.63347486,2.644560053,9.05408356,3.882979574,3.964678734,3.919862619,0.466799372,7.862372528,7.399265815,8.357247405,6.751948211,6.853147453,12.20866886,8.233604981,7.417918439,7.376227888,4.472697142,2.325219453,12.54055627,11.02241071,5.361564957,2.730116035,9.257559987,12.23491904,12.1320605,7.065550028,2.02017147,2.622354095,0.653573699,4.658756576,9.842937398,10.83288963,13.12799543,6.742971176,6.710446479,11.45259676,3.725226471,5.775370186,4.984530657,1.914484159,1.632835874,10.14262511,5.303434935,3.07891395,5.954915036,7.975092813,3.672168576,9.487059377,0.563206952,1.541118304,1.164548169,2.849629034,1.676596897,1.391586272,7.573585502,5.734546349,5.264533541,1.492976038,2.150026691,3.386188909,4.908574776,5.581815619,5.538003075,5.59327769,10.56585296,10.56676172,11.39235958,2.830385145,8.408431637,2.709197983,8.550445442
TCGA-E5-A2PC,7.231835115,11.07388869,2.275793162,1.676173964,3.330221063,12.67624091,13.94731183,3.163458639,7.403034783,6.214991347,6.236157775,3.983824145,0,6.307886399,9.412984617,8.67742922,5.196986355,7.417004493,11.89926598,4.898198096,5.880539853,8.797093229,4.652700273,3.825252403,12.34690759,11.51785842,4.911416581,2.570592865,8.835739703,13.01540888,12.49158238,8.019894657,3.206990885,9.926167078,1.068943848,1.246329641,7.215941672,8.322890173,11.35097941,6.171703469,6.171703469,9.176841699,3.479689093,1.068943848,7.637859119,1.546619905,2.698103769,8.307973882,3.514755897,2.430709989,3.330221063,7.102381679,1.068943848,4.699171254,2.430709989,0.631288712,1.404273713,0.866649278,0.631288712,0.866649278,7.790529416,8.585585843,5.8872456,3.443748527,1.404273713,3.206990885,3.290302601,3.290302601,2.974869572,2.63575648,12.78577402,12.78021181,11.34657638,4.149171959,5.574725511,3.249247962,8.223057973
TCGA-FD-A3B4,8.691353028,8.661437011,3.908502532,4.059757518,0.79719979,10.98143337,12.38344748,1.508079727,7.860845611,4.137405565,4.16733127,2.967897704,0.635330922,6.460275873,7.172957663,8.291982893,4.69478037,6.901943803,12.6775155,7.537606932,6.379487557,7.786870461,3.379342321,2.110951494,11.41655066,9.109216272,1.195988794,1.508079727,5.452464673,10.1876442,11.64267296,6.300672009,0.942725428,7.438318995,2.284826506,1.598719165,8.943466118,9.454236731,11.86938122,4.868783992,4.990955087,9.053719688,3.5251389,4.334914464,4.196648744,2.048002461,0.942725428,9.196156923,5.1862939,2.171268326,3.188238066,2.707731286,0.79719979,6.59848741,0.635330922,1.683999108,1.307690227,1.411361703,0.452977011,0.452977011,5.57473992,6.681190249,4.974122832,1.598719165,3.32727447,5.57473992,3.034359414,6.932761343,6.824240644,6.947926716,11.37917949,11.39596338,10.47262543,1.683999108,7.156266536,3.614745293,5.871413067
TCGA-G2-A3IB,6.434960059,8.716582778,2.059148966,0.841450676,2.709942569,11.14624118,12.4932737,4.882967399,7.553643216,5.131325622,5.576498042,3.15680254,0.841450676,6.753549343,9.930395046,8.119707967,3.7729006,7.23515091,11.20645962,4.073564741,5.75632977,8.841375085,4.073564741,0,11.82483035,10.98987787,7.66478134,4.432165974,9.648093495,12.51119252,15.96426564,8.123809299,2.059148966,10.97746637,0.841450676,2.523839178,9.243112301,11.88133802,12.01844885,6.448103896,6.654968404,7.907725752,5.064619348,4.80337848,2.874759005,0.841450676,1.369439682,9.532528812,3.7729006,1.755123871,3.279524783,8.215058436,1.369439682,8.928359826,0.841450676,0,0.841450676,0.841450676,0,0.841450676,6.654968404,7.066422393,7.005489772,2.523839178,6.077146332,5.195083408,2.059148966,6.677464775,6.573348136,6.71056495,12.59445611,12.57680031,11.9476225,3.497492551,4.921173657,4.203257547,10.16738761
TCGA-G2-A3IE,7.297449488,9.73022344,1.505341687,2.225842208,2.95283749,12.72220757,13.17008941,4.082132006,8.601395639,6.15970799,6.14728496,5.763641506,1.505341687,7.426428231,10.18615868,9.247555768,7.918257548,6.122113297,13.10181716,8.100063041,6.255419324,9.2975982,5.262709688,3.794149138,13.31995488,11.90114072,8.429941877,5.19189577,10.5991773,13.52516418,13.49468939,7.446846613,1.505341687,7.245946045,2.561640183,3.588986331,10.03841954,11.99858421,13.25132705,7.940027297,7.975595751,13.22644549,5.167497068,4.182950148,7.09887455,1.154418594,1.154418594,9.73022344,5.415561621,2.95283749,4.673495538,10.34144997,3.26027005,8.52182774,2.225842208,2.561640183,1.505341687,1.154418594,0.689722289,1.505341687,9.898107275,9.103874955,6.935090434,3.513559215,3.433970142,8.52182774,4.602467392,3.349732699,4.230834669,3.588986331,12.39695905,12.43322817,12.54591517,4.837125264,6.10936081,2.561640183,10.37380129
TCGA-DK-A3IV,7.555711346,8.936509851,2.116741019,2.071641181,2.633646262,15.89043845,13.73458041,3.127987307,7.17088844,5.282062142,5.241913803,4.566358167,0.485896657,5.325932503,10.12032301,11.01561608,8.169891453,7.177555299,13.31981835,11.34582721,8.259968024,9.139655755,5.692773044,4.111465475,12.5959517,10.56991467,2.752719908,3.254451339,9.60341159,12.43653142,12.8404658,8.223707769,4.375443885,9.10719929,6.459962498,1.586058052,8.619534689,9.432232471,13.56786335,7.501479726,7.524673132,11.94016844,4.259573425,5.296834331,5.321123388,1.303539962,3.294257107,8.078808607,4.239323491,2.570209101,3.512460784,7.593094411,1.37952282,7.953115286,0.951883912,2.633646262,1.138399684,1.586058052,2.88894621,0.485896657,6.08766648,7.84419563,4.949567522,1.223331722,5.73315734,2.88894621,3.083242988,6.503063937,6.617317101,6.654113084,12.91017293,12.92242974,12.36353156,3.254451339,6.906113303,2.071641181,9.921001166
