"mRNA","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000171208.10",0.832255966083719,2.36618303055604,6.23182954080057,1.56009608209158e-09,2.30825046790502e-05,11.2810985247008
"ENSG00000283199.3",-0.58029290334094,0.392475607510753,-6.19631650214127,1.90606975054089e-09,2.30825046790502e-05,11.0953447058067
"ENSG00000117632.23",0.875158352465755,5.49692925190195,5.91386155668642,9.09917732927764e-09,7.06306684179874e-05,9.64702616149978
"ENSG00000185561.10",-0.639242443589832,1.71761627932379,-5.7201136990173,2.57665642040517e-08,9.59133593790582e-05,8.6840876857903
"ENSG00000120306.11",-0.946858734498432,4.64914313635974,-5.67148704507597,3.3322796160336e-08,0.000100884765375417,8.44639365667353
"ENSG00000243566.7",-1.85710743796064,2.26654921143081,-5.55268704893243,6.20257938314422e-08,0.000150669911341503,7.87250157766658
"ENSG00000166734.20",-0.56537496766417,3.31454879881397,-5.50136762689974,8.08715461370579e-08,0.000150669911341503,7.62760946226314
"ENSG00000139793.18",-0.779716253593945,3.29263867915696,-5.41518441635949,1.25737102715961e-07,0.000203023508518705,7.22048820572745
"ENSG00000123739.11",-0.517966559947366,2.18293071327827,-5.37356415140607,1.55309369453837e-07,0.000207006343084674,7.02574808615657
"ENSG00000150457.9",-0.52014619218526,2.39013221837013,-5.36474641766728,1.62391433468572e-07,0.000207006343084674,6.98464730293521
"ENSG00000085840.13",0.814538079880473,2.67467616214279,5.31805196020582,2.05450377275839e-07,0.000234194374438949,6.76791669693785
"ENSG00000029993.15",0.902184770378137,5.16966077110919,5.31716427806261,2.06367883386241e-07,0.000234194374438949,6.76381156373887
"ENSG00000143476.18",0.680799219076945,2.88660451630824,5.30030044819279,2.24573511632564e-07,0.000234971546989575,6.68593052871397
"ENSG00000091651.9",0.629389797728891,2.38471590188863,5.29307969465285,2.3283720593517e-07,0.000234971546989575,6.65264544144274
"ENSG00000110047.18",-0.542327276299933,3.83222962891325,-5.28167566587568,2.46493134400942e-07,0.000238802548607633,6.60015278516457
"ENSG00000196616.14",-0.882896681176155,0.695253144244951,-5.25188181545524,2.85942422597948e-07,0.000248329339317879,6.46345092795414
"ENSG00000172508.10",-0.724937566722153,0.682167548019632,-5.20488339594648,3.60920510663929e-07,0.000301430854078633,6.24910506448958
"ENSG00000178999.13",0.81823685382269,3.99150871060057,5.15401363604636,4.63536227143441e-07,0.000356325028853676,6.01889778381504
"ENSG00000164045.12",0.829955393659692,2.35421378110746,5.11418253410264,5.63115444790296e-07,0.000368612326292459,5.83995385466497
"ENSG00000142945.13",0.727244939426444,3.73858186378208,5.10163665571284,5.9856607850135e-07,0.000370824576788048,5.78382956643944
"ENSG00000186871.7",0.691205466169257,1.8307341771371,5.09933618306504,6.05296941233845e-07,0.000370824576788048,5.77355078889134
"ENSG00000132780.17",0.648758988614163,4.63822900239669,5.08789248785687,6.39884031707133e-07,0.000370824576788048,5.72247638813681
"ENSG00000073910.22",-0.501704373239874,0.96351420854014,-5.0755867882141,6.7921135328512e-07,0.000370824576788048,5.66766143594681
"ENSG00000123485.12",0.682373459243323,3.00710227889054,5.07369328176623,6.85466872593127e-07,0.000370824576788048,5.65923675414073
"ENSG00000170779.11",0.639315200079573,3.92273485845358,5.06743981622182,7.06525156106055e-07,0.000370824576788048,5.63143215268112
"ENSG00000097046.13",0.592297852318099,2.62876725894627,5.06364679498102,7.19601779894231e-07,0.000370824576788048,5.61458128918207
"ENSG00000174371.17",0.625184933983171,2.37148352747713,5.0398318946642,8.07221887539369e-07,0.000393095721389631,5.50902202993282
"ENSG00000182481.10",0.613727206037938,4.77160864318996,5.03745691236768,8.16505913874999e-07,0.000393095721389631,5.49851774819798
"ENSG00000077152.11",0.670293326154784,4.14574510209895,5.03461758720336,8.27740784098728e-07,0.000393095721389631,5.48596516187812
"ENSG00000013364.19",-0.619915245038439,5.34476596104863,-4.97854023611314,1.08287494577219e-06,0.000468343414046474,5.23926339312365
"ENSG00000100814.18",0.56742461742552,3.65669763047088,4.96499272573978,1.15508707137162e-06,0.000476648597822725,5.18001136210887
"ENSG00000111247.15",0.699586534345578,2.96922016992142,4.9548686512661,1.21206933659637e-06,0.000481994379720975,5.13582081545302
"ENSG00000080493.18",-0.772737720825128,0.85143845086402,-4.95394789695984,1.21738448687728e-06,0.000481994379720975,5.13180557953082
"ENSG00000280206.1",0.668160280013453,3.97148266458857,4.95090052384758,1.23513696285331e-06,0.000481994379720975,5.11852103564292
"ENSG00000127423.11",0.575627729197323,2.02046315720302,4.94633637768116,1.26219437113429e-06,0.000481994379720975,5.09863722004163
"ENSG00000228168.1",0.58464434191484,1.28753660528708,4.92962221010649,1.36625711877126e-06,0.000489266033536342,5.025953318511
"ENSG00000153044.10",0.642726282285101,3.2275843793704,4.92903408934484,1.37006581617191e-06,0.000489266033536342,5.02339956629384
"ENSG00000126787.13",0.752132584510835,3.32884626026362,4.92539487250748,1.393862771016e-06,0.000489266033536342,5.00760297961862
"ENSG00000179292.5",-0.83857865539761,0.561418757483061,-4.91278844419611,1.47942460985565e-06,0.000500098237141507,4.95295885837772
"ENSG00000161011.20",-0.580447848749083,4.62316023218151,-4.91069661446373,1.49410457074904e-06,0.000500098237141507,4.9439029870534
"ENSG00000104738.18",0.657897535331894,4.73136619733732,4.89997278196698,1.57159968531803e-06,0.000509069118602142,4.89752887560214
"ENSG00000143228.13",0.610749271869698,2.85322547211279,4.88804908688924,1.66232495671386e-06,0.000516173210918072,4.84606658155074
"ENSG00000106268.15",0.662117150892674,4.1121695246601,4.87894025651416,1.735020279056e-06,0.000526075676791893,4.80682453178903
"ENSG00000188883.5",1.30208715704694,1.86395688725872,4.87676835270231,1.75280179410107e-06,0.000526075676791893,4.79747681725851
"ENSG00000101003.10",0.569016199494706,2.99659085242433,4.87351602333916,1.77975833519415e-06,0.000526075676791893,4.78348561143616
"ENSG00000198554.12",0.763783853233157,2.59217430135131,4.86502017100318,1.85207764424875e-06,0.00053401572075839,4.74697452874991
"ENSG00000154229.12",-0.576063155755683,1.68279057894467,-4.86055576568961,1.8912091373645e-06,0.000538883356552567,4.72781027027939
"ENSG00000166508.18",0.621025261497204,5.81028115586893,4.81864301964511,2.29968879767616e-06,0.000647656542787402,4.54861950200108
"ENSG00000203760.9",0.8825842007046,4.74637246937949,4.79314655313641,2.58851763456007e-06,0.000696598856767165,4.44025825670637
"ENSG00000196189.13",0.545050477257986,2.85436834786086,4.78698566902421,2.66339023180466e-06,0.00070555495667699,4.4141475150176
"ENSG00000237649.8",0.65167540182329,4.17866737456257,4.77754944221011,2.78213249045083e-06,0.000709297357039148,4.37421078914324
"ENSG00000179588.9",-0.516320693942837,1.35290878453684,-4.72592245011608,3.52774399214741e-06,0.000797250048443502,4.15690044816471
"ENSG00000076382.17",0.600803838369458,3.31725130147301,4.72482367523943,3.54553810722423e-06,0.000797250048443502,4.15229734452263
"ENSG00000075223.14",-1.0423662254289,3.20555486643379,-4.72408078443302,3.55761782748584e-06,0.000797250048443502,4.14918566612542
"ENSG00000085999.13",0.535850160626827,1.87479757185847,4.70371688876681,3.90462031102269e-06,0.00083327859249359,4.06405218792909
"ENSG00000125319.15",0.52736364349177,2.43414057270981,4.69846355079859,3.99929674859927e-06,0.000838362357289473,4.04214108551064
"ENSG00000206538.9",-0.726207103794235,1.08822148011624,-4.69570504264928,4.04989247740992e-06,0.000838362357289473,4.03064403851974
"ENSG00000168477.19",-0.647253447725242,0.941759900651904,-4.67789309235184,4.39174858128502e-06,0.000871942862196555,3.9565457384602
