,hsa-let-7c,hsa-let-7e,hsa-mir-1-1,hsa-mir-1-2,hsa-mir-106a,hsa-mir-10a,hsa-mir-10b,hsa-mir-1180,hsa-mir-127,hsa-mir-128-1,hsa-mir-128-2,hsa-mir-1287,hsa-mir-129-2,hsa-mir-134,hsa-mir-141,hsa-mir-142,hsa-mir-146a,hsa-mir-146b,hsa-mir-148a,hsa-mir-150,hsa-mir-155,hsa-mir-17,hsa-mir-181c,hsa-mir-181d,hsa-mir-182,hsa-mir-183,hsa-mir-187,hsa-mir-18a,hsa-mir-200b,hsa-mir-200c,hsa-mir-203a,hsa-mir-20a,hsa-mir-20b,hsa-mir-210,hsa-mir-215,hsa-mir-218-2,hsa-mir-23b,hsa-mir-27b,hsa-mir-29a,hsa-mir-29b-1,hsa-mir-29b-2,hsa-mir-29c,hsa-mir-3065,hsa-mir-31,hsa-mir-335,hsa-mir-34c,hsa-mir-363,hsa-mir-379,hsa-mir-381,hsa-mir-409,hsa-mir-410,hsa-mir-429,hsa-mir-432,hsa-mir-451a,hsa-mir-4661,hsa-mir-4772,hsa-mir-485,hsa-mir-487b,hsa-mir-508,hsa-mir-539,hsa-mir-582,hsa-mir-584,hsa-mir-629,hsa-mir-651,hsa-mir-675,hsa-mir-708,hsa-mir-889,hsa-mir-9-1,hsa-mir-9-2,hsa-mir-9-3,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-93,hsa-mir-96,hsa-mir-99a,hsa-mir-135b,hsa-mir-200a
TCGA-FD-A3B4,8.691353028,8.661437011,3.908502532,4.059757518,0.79719979,10.98143337,12.38344748,1.508079727,7.860845611,4.137405565,4.16733127,2.967897704,0.635330922,6.460275873,7.172957663,8.291982893,4.69478037,6.901943803,12.6775155,7.537606932,6.379487557,7.786870461,3.379342321,2.110951494,11.41655066,9.109216272,1.195988794,1.508079727,5.452464673,10.1876442,11.64267296,6.300672009,0.942725428,7.438318995,2.284826506,1.598719165,8.943466118,9.454236731,11.86938122,4.868783992,4.990955087,9.053719688,3.5251389,4.334914464,4.196648744,2.048002461,0.942725428,9.196156923,5.1862939,2.171268326,3.188238066,2.707731286,0.79719979,6.59848741,0.635330922,1.683999108,1.307690227,1.411361703,0.452977011,0.452977011,5.57473992,6.681190249,4.974122832,1.598719165,3.32727447,5.57473992,3.034359414,6.932761343,6.824240644,6.947926716,11.37917949,11.39596338,10.47262543,1.683999108,7.156266536,3.614745293,5.871413067
TCGA-DK-A3IQ,9.637681703,8.994999792,4.798861297,4.73441276,0.49095206,11.70526903,12.21073411,1.390386492,8.973288516,3.682221345,3.691304343,2.241664487,0.314085099,6.958788098,5.89764747,4.954081914,1.909401008,4.794653125,11.0932994,2.337346305,3.518359135,5.95910243,3.682221345,1.970367767,9.599141417,8.738522109,3.977788029,0.571868024,5.930621066,9.088634433,11.15815035,4.12582556,1.390386492,5.318885491,0.11246528,2.139183285,9.09805638,10.09353142,11.45372248,3.390352509,3.607421696,8.226489639,2.610626839,2.807253518,6.821786059,0.919774065,0.790496815,10.20236976,4.919715344,2.42707512,4.139163307,4.620155942,1.779147495,3.796061523,0.314085099,0.11246528,1.518390107,1.298271199,0.648484771,0.790496815,5.080450751,4.803057179,3.066566966,0.49095206,3.626488316,4.377273912,4.145786183,2.405160529,2.610626839,2.70333596,9.423423786,9.441368123,8.364194288,1.434328249,8.103028226,1.877923251,5.398686034
TCGA-DK-A3IU,8.745350896,10.3525569,4.79122182,4.643358432,0.773830954,10.05239562,12.0405271,2.092578891,7.315478332,4.004307672,4.282061956,2.229889657,0.773830954,5.004025629,6.722809047,9.328236863,5.580358526,7.671448979,12.33747452,9.745578947,7.515650557,7.851602266,3.161856249,1.88645455,11.67823541,10.18022236,0.888901024,2.272901681,6.305212524,10.73743908,8.467835853,6.571676992,1.187544169,6.000689534,0.648781099,2.644444689,9.533134443,9.765716918,12.24405125,5.363693486,5.417396045,9.304788568,1.57891505,2.885229951,4.228441617,2.139816211,0.995467152,7.95013005,3.660014268,2.043742749,2.708511944,3.451178927,1.09469955,4.60178992,0.360557559,2.644444689,0.773830954,0.511854595,1.993195014,0.888901024,5.402947001,7.189251112,4.282061956,0.191513381,6.563038648,2.577399339,1.274773336,4.017013793,3.925627307,4.126597353,11.96467033,11.95593294,10.31398133,1.993195014,7.816599892,1.645891608,6.271144591
TCGA-G2-A3IE,7.297449488,9.73022344,1.505341687,2.225842208,2.95283749,12.72220757,13.17008941,4.082132006,8.601395639,6.15970799,6.14728496,5.763641506,1.505341687,7.426428231,10.18615868,9.247555768,7.918257548,6.122113297,13.10181716,8.100063041,6.255419324,9.2975982,5.262709688,3.794149138,13.31995488,11.90114072,8.429941877,5.19189577,10.5991773,13.52516418,13.49468939,7.446846613,1.505341687,7.245946045,2.561640183,3.588986331,10.03841954,11.99858421,13.25132705,7.940027297,7.975595751,13.22644549,5.167497068,4.182950148,7.09887455,1.154418594,1.154418594,9.73022344,5.415561621,2.95283749,4.673495538,10.34144997,3.26027005,8.52182774,2.225842208,2.561640183,1.505341687,1.154418594,0.689722289,1.505341687,9.898107275,9.103874955,6.935090434,3.513559215,3.433970142,8.52182774,4.602467392,3.349732699,4.230834669,3.588986331,12.39695905,12.43322817,12.54591517,4.837125264,6.10936081,2.561640183,10.37380129
TCGA-GV-A3JW,7.511637985,10.64965911,3.272783167,3.121397084,3.756622075,10.71846079,12.81556555,4.077755543,7.743201835,6.001410424,6.203406287,4.969372245,0.972904356,6.06503288,9.58470035,7.893882691,3.704301744,4.780134949,14.55542286,4.82982171,4.374145657,9.130260871,3.650012347,1.959162909,12.81421617,12.09043812,9.715191439,3.903079062,10.65397588,11.65568233,15.61144544,8.056627046,1.959162909,9.489362866,1.289351716,3.039297748,9.196863617,10.51470738,11.36973877,6.625313732,6.618261638,12.36854712,3.756622075,2.859596108,5.232120988,0.566955399,1.289351716,8.852296481,4.077755543,2.414824235,4.471274033,9.368486855,2.654282693,9.266177464,2.127553054,0.972904356,1.959162909,0.972904356,1.548720697,1.289351716,6.666917353,8.27189291,5.501064474,1.289351716,7.059434443,2.654282693,3.903079062,5.355992101,5.304201114,5.1946839,12.64400278,12.65287289,12.85378342,5.268611164,6.06503288,1.959162909,10.02215695
TCGA-DK-A3IV,7.555711346,8.936509851,2.116741019,2.071641181,2.633646262,15.89043845,13.73458041,3.127987307,7.17088844,5.282062142,5.241913803,4.566358167,0.485896657,5.325932503,10.12032301,11.01561608,8.169891453,7.177555299,13.31981835,11.34582721,8.259968024,9.139655755,5.692773044,4.111465475,12.5959517,10.56991467,2.752719908,3.254451339,9.60341159,12.43653142,12.8404658,8.223707769,4.375443885,9.10719929,6.459962498,1.586058052,8.619534689,9.432232471,13.56786335,7.501479726,7.524673132,11.94016844,4.259573425,5.296834331,5.321123388,1.303539962,3.294257107,8.078808607,4.239323491,2.570209101,3.512460784,7.593094411,1.37952282,7.953115286,0.951883912,2.633646262,1.138399684,1.586058052,2.88894621,0.485896657,6.08766648,7.84419563,4.949567522,1.223331722,5.73315734,2.88894621,3.083242988,6.503063937,6.617317101,6.654113084,12.91017293,12.92242974,12.36353156,3.254451339,6.906113303,2.071641181,9.921001166
TCGA-GV-A3QH,5.678605322,10.09296456,1.382393903,0.850801823,3.833679383,12.3844344,14.51584303,5.459018686,7.984702851,6.618001569,6.488435892,5.6557935,1.140944834,6.257939865,11.02519591,9.822960048,6.211767015,5.888839766,12.68767256,5.067891218,4.760957864,10.19042941,7.389969949,5.050506834,13.3497383,12.73068834,8.020857464,6.545394497,10.8291893,13.35599862,13.89510323,9.399040698,4.844026642,11.45162636,7.01300125,4.922571702,8.907760492,9.952618425,11.12407344,7.607670328,7.7053249,11.0532879,7.021948527,5.231101497,7.534527991,2.075194422,3.950753286,8.973805239,4.903332662,2.326973025,4.09339614,10.3587834,2.541271479,8.366472854,2.96897085,3.465163063,1.589167593,2.075194422,0.487230099,1.589167593,7.322771681,11.29942756,6.475467124,4.023836927,5.828922341,5.215586698,4.059035759,9.222068398,9.238473923,9.20743637,13.59569648,13.5948535,13.51298227,5.135406609,4.023836927,1.140944834,11.00728613
TCGA-CU-A3YL,8.481289144,9.05170834,4.248401551,4.672906047,2.585379379,13.95832787,15.75042212,4.807837371,8.174175745,6.098525127,6.253159213,4.672906047,1.000250286,6.335884503,10.26259478,9.65244833,5.160357695,6.555083872,12.68442695,7.671154135,6.066582056,9.131070012,5.960494242,3.555046635,12.68256215,11.97428726,8.112938038,4.833372806,8.754551549,13.49288554,15.80402607,8.669384095,5.459920577,9.838127727,1.907257571,4.108995827,9.459418837,10.65692489,10.4817949,6.820674871,6.811067515,9.644806678,3.977748471,0.807569249,6.165400294,2.585379379,3.644316509,9.053067449,4.755369335,4.108995827,4.267260866,7.500343467,2.322328243,7.308836215,1.807712254,0.807569249,1.807712254,2.459841024,2.585379379,2.170314156,7.116840693,9.215425688,6.093250152,2.087845359,8.986341291,4.492331222,4.248401551,6.028398662,5.977772325,6.200165878,12.66833253,12.65401714,13.27967556,4.322403457,7.069274888,3.700901529,8.555087861
TCGA-DK-A3WX,8.316341397,9.310103073,2.644383543,2.833429734,2.426775714,11.3901916,13.10003709,3.000549202,9.114368743,4.460030803,4.673028432,3.409959619,0,9.257425069,11.01141773,12.59325983,6.604247601,8.73618226,13.24835123,6.875603708,7.038169888,10.35211864,4.721703107,1.858435422,12.07773534,11.944699,4.460030803,6.775409037,8.183640552,12.02568058,15.80123379,9.59937731,2.833429734,10.83667772,0.907183721,4.516300127,8.003440279,9.775414053,11.7468794,8.895822962,8.919489648,8.929884831,3.285965574,3.285965574,5.742082953,2.426775714,0.907183721,10.82628183,5.694102543,4.401477425,5.061304826,8.008353387,3.629933583,6.349348167,0.907183721,4.721703107,2.170413191,2.170413191,0,3.989272823,9.14369088,8.430555632,7.973604996,4.066679412,4.066679412,5.239015816,5.336002535,5.135036169,5.272074489,5.336002535,12.30312372,12.29585842,13.64078785,4.401477425,5.833506723,5.022976191,8.382168776
TCGA-DK-A3WY,9.876168351,8.530245023,5.488011057,5.565285665,2.78423196,12.01832366,14.16617834,2.474823825,8.03657089,4.71503815,4.362167151,2.970575946,0.81543771,6.471848149,4.000603011,11.07939335,8.985438959,8.087835131,13.88925039,10.34358944,8.921315117,7.788955995,3.226224279,2.080414806,8.576204734,6.182179815,1.944622724,2.861680889,3.338850528,7.345665481,6.629624383,7.446518762,3.894035926,2.659656768,1.333231934,3.365685119,8.820052925,9.491074366,12.91142581,6.601678616,6.673241309,10.45144946,1.871612247,0.464580448,5.506214547,1.438092138,2.823476078,8.644908656,4.147006405,2.31878537,3.758861085,1.713474555,1.944622724,4.60672914,0.650648771,1.220148523,1.713474555,1.097441573,1.333231934,1.097441573,7.137597347,5.692617203,4.766288623,1.333231934,5.175614298,4.835111774,3.894035926,7.141484629,7.137597347,7.119973776,11.3562659,11.36117063,11.26834085,0.464580448,8.372156046,0.963318748,3.283636167
