"mRNA","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000100092.24",0.578087042138303,1.73598717603422,4.42341184619016,1.82383701909924e-05,0.0378187723367226,2.61639369773592
"ENSG00000065357.20",0.607656400898539,2.769172765638,4.42038940854736,1.84662095135844e-05,0.0378187723367226,2.60556636497962
"ENSG00000142765.18",1.00309355110005,2.99324345230935,4.35441289398383,2.41787929596637e-05,0.0378187723367226,2.37061466120394
"ENSG00000257084.1",1.15560507664906,2.79863937738635,4.34899104307824,2.47172213849423e-05,0.0378187723367226,2.35142604053135
"ENSG00000248485.2",1.1055350410363,1.26305480698235,4.31892610989819,2.79182408368489e-05,0.0389586281427052,2.24535343267502
"ENSG00000274213.1",0.62977905107534,1.74695118329996,4.22863176749979,4.01032875449356e-05,0.0424025004067766,1.93018217983817
"ENSG00000176903.5",-0.603994109049654,4.51406316580059,-4.10181038542647,6.60892277290101e-05,0.0486986187489285,1.4962510861553
"ENSG00000189366.9",0.850269799362408,2.00286224232893,4.01196249293168,9.35368181916022e-05,0.0524947296266238,1.19511778415494
"ENSG00000170006.12",0.56530437997163,1.45165148321346,3.98515676909897,0.000103639608454755,0.0524947296266238,1.10630047674099
"ENSG00000220842.6",0.579992523821539,3.12104341475202,3.98220266867854,0.000104814536902453,0.0524947296266238,1.09654144435728
"ENSG00000103044.11",1.16620376125178,2.51644599494104,3.92453265545433,0.00013045905514312,0.055433654659059,0.907184270140268
"ENSG00000186973.11",0.705797146319687,0.964018285119967,3.91765055848933,0.000133890833664515,0.055910965368182,0.884734989472113
"ENSG00000200879.1",0.850257199781062,2.08671349770764,3.90644637946912,0.000139662211396353,0.0566182748775496,0.848254856368537
"ENSG00000224689.9",0.745497062311346,0.838814826111813,3.84669551009723,0.00017465507549965,0.0596184475124468,0.655132165832452
"ENSG00000164111.15",-0.570558356106644,6.98609624027386,-3.80564244640129,0.000203362077661727,0.0622690617086806,0.523840284164522
"ENSG00000150093.20",-0.508778988348931,4.97828171765234,-3.75071283994189,0.000248824488177865,0.0652305086567151,0.349964615305836
"ENSG00000109472.14",-1.0581108738259,4.69884132866222,-3.74564227071248,0.000253474931762563,0.0652305086567151,0.334018224129443
"ENSG00000154102.11",0.770350081844318,1.74664756416567,3.7434101207035,0.00025554811868126,0.0652305086567151,0.327003951445623
"ENSG00000116690.13",-0.945330484120597,1.04087613253792,-3.73328575740144,0.000265154668475175,0.0656093089026181,0.295232310344179
"ENSG00000089356.18",0.5712667307496,1.09008634250394,3.71891217479614,0.000279381769883218,0.0676662646657154,0.250247229462633
"ENSG00000275393.1",0.519835029922713,0.746850987910784,3.70604132649316,0.000292731643851729,0.0690140877789107,0.210086189867646
"ENSG00000207547.1",0.582345487781249,2.5479340467106,3.70314145887613,0.000295821618513738,0.0690140877789107,0.201053499200311
"ENSG00000139433.11",0.525258548928254,4.73670170031084,3.68988364807255,0.00031034561021631,0.0690140877789107,0.159831333933802
"ENSG00000200534.1",0.542389502456238,2.86311248194377,3.67722586712987,0.000324839224062586,0.0690140877789107,0.120588467645628
"ENSG00000146904.9",0.716973811086707,2.67430376543061,3.65422355628626,0.000352829048020296,0.0694757686426956,0.0495593834784254
"ENSG00000215788.11",0.507246113360803,2.02583994978297,3.63043813399841,0.000384157530996954,0.0730816553103936,-0.0235001873290495
