,hsa-let-7c,hsa-let-7e,hsa-mir-1-1,hsa-mir-1-2,hsa-mir-106a,hsa-mir-10a,hsa-mir-10b,hsa-mir-1180,hsa-mir-127,hsa-mir-128-1,hsa-mir-128-2,hsa-mir-1287,hsa-mir-129-2,hsa-mir-134,hsa-mir-141,hsa-mir-142,hsa-mir-146a,hsa-mir-146b,hsa-mir-148a,hsa-mir-150,hsa-mir-155,hsa-mir-17,hsa-mir-181c,hsa-mir-181d,hsa-mir-182,hsa-mir-183,hsa-mir-187,hsa-mir-18a,hsa-mir-200b,hsa-mir-200c,hsa-mir-203a,hsa-mir-20a,hsa-mir-20b,hsa-mir-210,hsa-mir-215,hsa-mir-218-2,hsa-mir-23b,hsa-mir-27b,hsa-mir-29a,hsa-mir-29b-1,hsa-mir-29b-2,hsa-mir-29c,hsa-mir-3065,hsa-mir-31,hsa-mir-335,hsa-mir-34c,hsa-mir-363,hsa-mir-379,hsa-mir-381,hsa-mir-409,hsa-mir-410,hsa-mir-429,hsa-mir-432,hsa-mir-451a,hsa-mir-4661,hsa-mir-4772,hsa-mir-485,hsa-mir-487b,hsa-mir-508,hsa-mir-539,hsa-mir-582,hsa-mir-584,hsa-mir-629,hsa-mir-651,hsa-mir-675,hsa-mir-708,hsa-mir-889,hsa-mir-9-1,hsa-mir-9-2,hsa-mir-9-3,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-93,hsa-mir-96,hsa-mir-99a,hsa-mir-135b,hsa-mir-200a
TCGA-G2-A2EJ,5.398664455,8.869950403,0.379201732,1.323721116,1.634292153,10.94777076,13.84770238,3.488147347,7.855347553,4.381355159,4.156624669,3.703197179,0.679193165,6.714453457,10.68974834,9.264842014,6.088282738,7.992795498,12.16974574,6.1808636,6.967592787,9.454812033,3.526289457,1.323721116,13.6868477,11.14106546,2.984461936,3.830595875,9.415340774,13.58461106,15.75918361,7.768508048,0.679193165,10.28815562,2.295159646,3.038247053,9.992804302,10.27351354,13.22041435,6.818023537,6.676796853,9.410250386,4.481825,5.784292484,3.736117004,3.860762217,0.927414843,8.812266175,5.398664455,2.002240928,2.538525251,7.261297995,1.323721116,7.125017046,2.928593746,4.029604038,0,1.634292153,0.379201732,1.323721116,8.200193544,9.953977234,6.227913491,1.767643782,5.947797027,5.968723555,3.038247053,10.40887084,10.39218589,10.41650698,12.74538023,12.73644685,11.31983303,3.188525628,3.703197179,7.161828241,10.40503756
TCGA-G2-A2EL,9.104525459,7.344996737,0.60205869,0.60205869,2.288095693,12.36292834,13.95051897,6.690438775,13.28909289,5.64211759,5.715047351,2.126387468,4.156327118,12.22482799,11.13398345,6.821726744,3.6905589,5.344044387,12.64331746,3.6905589,6.631373554,10.251856,7.161468615,2.565565982,14.06049703,14.10554902,5.475799145,6.501335016,11.87970857,13.56444748,10.2070488,9.257012891,2.798182229,11.84438417,0.60205869,3.472316847,7.264676941,9.138727466,9.598003291,4.790296934,4.803734681,7.655917017,2.433491236,3.929955232,7.593458003,3.33097738,0.829299161,14.98014662,9.817165019,8.290127013,11.58327593,11.58217978,9.994622644,7.589584277,1.735724054,1.025569615,7.472467585,8.715906522,2.433491236,7.257370436,5.188830812,2.686557225,5.817963325,2.950926906,6.561899953,9.10316754,10.74763082,12.47288043,12.44889334,12.46912981,13.77218938,13.76855342,14.21418303,6.416411598,6.828316478,1.025569615,11.48686632
TCGA-BT-A2LD,9.249418103,10.30479055,3.366217007,3.213675292,1.87204033,9.637511225,11.96211072,2.878850481,8.23100028,5.553591451,5.576115332,3.190504876,0.915966738,6.841249175,8.157476464,9.167239617,6.00254409,8.286006119,13.76206489,8.41592733,6.665446155,7.722325676,3.366217007,2.088047269,13.62430773,12.2979765,2.990384929,3.143016695,7.056780087,11.40233416,9.316169701,6.865225006,0.529488151,6.206880014,1.685753158,3.143016695,8.905225971,9.678422649,13.04071885,7.021106757,7.067948175,9.96431617,4.771324815,2.591054146,3.761654411,1.309208208,0.915966738,9.709827307,5.359496467,3.281034383,4.570587461,5.637373265,2.037001202,5.902715146,1.685753158,1.220484742,1.392790549,2.137348426,2.819673497,1.617898854,5.122981805,8.09801525,4.954406696,0.529488151,9.170943808,4.020054896,4.468335027,7.119463659,7.185408714,7.142285195,10.77580325,10.76604024,11.2662855,4.862106671,8.271587739,1.024772844,6.82817215
TCGA-DK-A3WW,8.8699008,7.614631546,0.850821821,1.050585279,2.606207208,12.25670391,13.36773336,3.735604058,6.0047449,5.911528586,5.955780009,3.411742275,0,4.864110157,10.5282708,11.2804125,6.532973722,9.294665235,12.88596826,8.752959104,8.515973254,9.958499984,4.342317358,2.993476193,11.47242179,9.707588654,4.796195548,5.436932031,8.372942015,13.10620966,7.651614096,9.707588654,3.764324815,11.29062934,1.226023234,1.879088176,7.721020857,9.154558745,13.42717568,8.506441626,8.414304754,9.490020163,2.47335131,6.206587903,3.582741928,2.541308159,1.980488936,7.07597395,4.070621944,1.382421019,2.47335131,6.802438364,0.342376104,6.987388974,2.541308159,4.521244759,0.618882321,0.618882321,0.618882321,0.618882321,6.222199757,3.582741928,6.690917747,2.16412752,3.847207917,3.847207917,1.523510771,6.656857628,6.532973722,6.477680452,13.42640369,13.43602397,12.45946271,3.08739342,7.820100608,6.080930275,9.524008315
TCGA-DK-A6B5,7.534403943,9.225577221,1.779477422,1.62547811,2.859240266,13.98914655,12.70712888,3.423856599,7.911847538,5.954178393,5.827453758,3.880604329,0.430364499,6.242762562,10.47076233,8.08064377,6.757910879,9.352198195,13.05127838,7.082267455,7.166706518,9.048922731,4.240318833,3.112137455,14.18313865,12.72915646,3.196605156,3.897526806,9.148592387,13.89304262,15.79275043,9.026501325,4.186255783,8.812876761,1.453053946,1.779477422,7.325194452,9.001281744,11.47994194,7.872803611,7.821633219,9.411571262,9.004214297,0.605362527,7.509852738,2.893385123,2.675227896,8.22673023,4.010732136,2.370412057,2.824267659,8.56269175,2.370412057,7.872803611,1.541840413,2.104991763,1.358442963,1.14828922,1.358442963,1.541840413,6.085509362,5.745706723,6.562202654,3.557629792,2.552385679,4.957225022,3.423856599,10.73141688,10.72239284,10.73348003,12.40274184,12.39647756,13.35147123,5.368718734,5.722152313,4.776926248,10.27280097
TCGA-XF-A9T4,6.863239166,9.857493157,1.501882395,0.793145111,1.301994938,15.25129017,14.98708893,4.351944237,7.312236202,4.654434567,4.654434567,4.002106869,0,6.812406976,9.914477076,9.11452376,6.236187764,7.393084398,12.71560723,6.749928126,5.862008497,8.983844896,4.904363427,2.993141018,11.88358449,10.87822011,7.02622094,3.236913809,8.54414056,13.05029353,13.34273494,8.382463983,2.993141018,11.00324234,0.793145111,1.833889127,7.979378622,9.118333539,10.85357612,8.060824591,8.066751623,7.424196335,2.103603719,4.813287384,5.006569076,3.396025738,1.833889127,8.667577637,5.81583213,3.058053219,3.863709246,6.632291892,1.833889127,9.392150634,1.069889107,1.501882395,1.833889127,1.677415329,0.45040522,2.330748835,7.770098417,8.870952097,5.086535782,1.069889107,2.699631583,6.000561753,3.863709246,3.826931088,4.128382412,4.158296871,12.27883935,12.28563165,12.70646162,3.179722503,5.234286632,5.537189632,9.738151444
TCGA-XF-AAN7,10.74211757,10.75853995,3.027903874,2.779914196,5.806321737,17.01521245,15.1992144,5.926619834,5.539583025,7.712017293,7.741262372,4.015357065,0.778733403,4.53507869,2.282252673,7.556177964,3.480505293,7.643448022,16.63712834,4.102078502,4.250485648,10.33105242,6.984857541,5.940135053,7.724763012,7.077968277,2.949883005,4.679055533,1.281697063,4.976619109,4.375124113,9.763060584,8.400519567,8.161120079,0.778733403,4.19519773,7.613183947,8.332327963,8.612135857,4.839107017,4.780209401,5.61314255,3.239453188,6.561638839,1.36422054,0.19298317,5.784010812,6.570356228,3.195050209,1.36422054,2.194754964,0.894331966,1.586763302,6.390069861,3.002363002,0.363171077,0.19298317,0.6530591,1.949533065,0.894331966,9.90183843,7.888820793,7.570370452,3.195050209,7.25872267,7.184011341,2.654347547,7.602599092,7.603661081,7.612128948,13.71065988,13.7046716,13.98152534,1.001350452,9.086744264,6.345059118,1.895058661
TCGA-EW-A1OY,9.165019272,9.579250794,1.270311251,1.090656316,4.274840487,16.34757976,15.42846409,5.0030169,7.306626131,4.990254212,5.028208522,3.5524056,0.646028061,6.762943353,9.336162977,10.40823395,5.873201449,7.573712482,14.33797891,7.240803227,6.681923938,9.239036153,5.623370704,3.327352373,11.93651898,11.05506309,2.906087272,2.733038215,7.826178074,11.58289187,11.53673482,8.085154891,2.464363753,10.63218723,1.704613938,3.286177662,7.532492345,8.735844696,11.25652524,7.418030926,7.40366469,9.952606118,5.124793751,2.133933687,6.677950018,1.82450067,1.270311251,7.987390822,2.793057274,3.200125771,2.308588044,6.583391588,1.090656316,5.993194946,1.704613938,1.573854375,2.133933687,1.090656316,1.573854375,2.388577235,5.447794097,2.223902236,6.313150582,2.536366777,4.434106562,4.577525508,1.82450067,7.087464761,7.057189318,6.915868793,12.87820679,12.88657103,11.93807741,2.959445976,8.203221926,1.935185138,8.897511992
TCGA-EW-A1P3,9.963735271,8.456356177,1.820457159,2.262401886,2.262401886,15.65819661,15.543017,3.301844851,8.111440717,4.871509888,4.572124292,4.017172313,1.180125578,6.8071355,9.772341184,10.08639942,4.991188848,6.694088972,15.29123986,7.693001608,6.044092958,6.297299248,5.642431893,4.671028986,14.87477128,12.0397193,5.82533988,2.496174191,8.454621899,11.95944459,11.34618288,6.071509343,3.581556127,7.822359498,1.426508449,2.954534141,7.228452478,7.710546822,11.81180647,7.060743253,6.917010689,10.80694997,7.114452828,1.180125578,5.736782631,3.726576871,2.697295659,8.773989948,4.520007296,3.679837787,2.496174191,6.552092104,0.882820661,5.630192092,1.180125578,1.820457159,1.426508449,1.426508449,1.180125578,2.600236921,5.284623767,4.622424031,5.938858592,0,4.694730902,5.488219377,2.496174191,5.725320773,5.748154171,5.86766008,10.6168935,10.62732303,11.58804086,4.465936797,9.160810263,1.426508449,9.657929258
TCGA-GM-A2DF,8.291472489,8.283923503,1.669123396,1.063576801,1.397890561,12.54861378,14.35377,2.914686784,8.695908391,4.476192297,4.476192297,4.874933214,1.063576801,6.993814311,8.857204221,10.71263788,6.715689935,7.178854722,16.26208913,9.107227068,8.805417067,7.537397524,4.204900139,2.094344183,14.03571298,11.66431493,5.388154985,2.689418374,7.708810457,12.42594176,10.56057411,6.444905868,1.897343444,6.574316791,2.562054327,3.015371428,7.882141485,8.812430373,14.26289438,7.988143433,7.944120392,12.31966215,5.836441478,1.397890561,6.177957267,2.267647554,2.094344183,9.366255377,4.287753892,3.699459684,3.4344226,6.759894813,1.397890561,9.282870198,0.627656328,1.669123396,1.063576801,1.669123396,3.815706475,0.627656328,6.962631103,6.532456484,5.992793986,0.627656328,3.197833789,5.250341021,3.758753656,10.45585346,10.50592274,10.47972925,10.82483724,10.83563482,11.71478364,4.476192297,7.106519757,4.792210419,8.814178387
