"miRNA","logFC","AveExpr","t","P.Value","adj.P.Val","B","miRNA_lower"
"hsa-mir-200a",1.14370236556088,8.44612391289427,3.29276227790526,0.00120949141711894,0.208137491750795,-1.23331612399934,"hsa-mir-200a"
"hsa-mir-141",1.26453639320148,8.84952328727335,3.11650140833077,0.00215296499403998,0.208137491750795,-1.65004243788894,"hsa-mir-141"
"hsa-mir-200b",1.05041287354802,8.25442914048305,3.09172955731513,0.00233025871163464,0.208137491750795,-1.70702263874827,"hsa-mir-200b"
"hsa-mir-148a",0.598341911055679,14.2500398588248,2.9946246015857,0.0031632700375092,0.208137491750795,-1.92656044935591,"hsa-mir-148a"
"hsa-mir-429",1.00603220107072,6.37248263352247,2.9464769474312,0.00367087976570478,0.208137491750795,-2.03313786058867,"hsa-mir-429"
"hsa-mir-135b",0.984356893254153,4.69625912077807,2.88916444960108,0.00437203039763973,0.208137491750795,-2.15801744924903,"hsa-mir-135b"
"hsa-mir-1180",0.543569105824835,4.38300465294489,2.83949714039265,0.00507652418904379,0.208137491750795,-2.26448244025151,"hsa-mir-1180"
"hsa-mir-200c",1.17758505797541,11.7827652395057,2.74728905638011,0.00666483400788551,0.227337480632053,-2.45777596856932,"hsa-mir-200c"
"hsa-mir-187",0.956333038041642,3.28848077804544,2.6432013605181,0.00898952430703849,0.227337480632053,-2.66909408419211,"hsa-mir-187"
"hsa-mir-29b-1",-0.566499549423384,7.16673070943932,-2.63091792202562,0.00930733909542905,0.227337480632053,-2.69354663309278,"hsa-mir-29b-1"
"hsa-mir-889",-0.741801858762287,3.47605002442586,-2.62015952819189,0.00959396654293488,0.227337480632053,-2.71487872779651,"hsa-mir-889"
"hsa-mir-29b-2",-0.550541093906001,7.17891648971106,-2.61612709612923,0.00970342905136811,0.227337480632053,-2.72285399978499,"hsa-mir-29b-2"
"hsa-mir-584",-0.761738929210385,5.10222622908948,-2.59041317189297,0.0104282533521532,0.228031139967083,-2.77344895044268,"hsa-mir-584"
"hsa-mir-181c",0.557685655420771,5.47622737737937,2.41967573478632,0.0166008422267243,0.286582960545557,-3.09783627154842,"hsa-mir-181c"
"hsa-mir-127",-0.736213094466575,7.59117939256899,-2.39789393843301,0.0175857120042625,0.288405676869905,-3.13776348078847,"hsa-mir-127"
"hsa-mir-410",-0.708271543947601,3.33062838959893,-2.35208251204015,0.019827225411365,0.309682377853701,-3.22065369535686,"hsa-mir-410"
"hsa-mir-487b",-0.55617380908139,1.74304662707209,-2.32980910846812,0.0210052916033929,0.313169802086949,-3.26042189738661,"hsa-mir-487b"
"hsa-mir-134",-0.692285840790412,6.40201863278369,-2.28771248796027,0.0234007899805303,0.325932355123095,-3.33462794393221,"hsa-mir-134"
"hsa-mir-379",-0.672820052973736,8.4646099348032,-2.28026374171563,0.023848708911446,0.325932355123095,-3.34762779379437,"hsa-mir-379"
"hsa-mir-409",-0.550143299765249,2.98335233591837,-2.22060073576097,0.0277152218367397,0.342921449218725,-3.45033339097771,"hsa-mir-409"
"hsa-mir-432",-0.617564686907546,2.24722073698358,-2.10925410291822,0.0364044525523823,0.360222398045359,-3.63521362396935,"hsa-mir-432"
"hsa-mir-210",0.52962185739791,9.66315458119802,2.07260529410066,0.0397358861358576,0.360222398045359,-3.69411715918713,"hsa-mir-210"
