mature_mirna_id,miRNA_short_lower,target_symbol
hsa-miR-584-5p,hsa-mir-584,TSPAN1
hsa-miR-29b-1-5p,hsa-mir-29b-1,KITLG
hsa-miR-29b-2-5p,hsa-mir-29b-2,KITLG
hsa-miR-29b-2-5p,hsa-mir-29b-2,LRATD1
hsa-miR-127-5p,hsa-mir-127,CBX2
hsa-miR-584-3p,hsa-mir-584,PRSS8
hsa-miR-584-3p,hsa-mir-584,CBX2
hsa-miR-487b-3p,hsa-mir-487b,WNT5A
hsa-miR-487b-5p,hsa-mir-487b,PROM1
hsa-miR-410-3p,hsa-mir-410,SGPP2
hsa-miR-134-5p,hsa-mir-134,ERBB2
hsa-miR-134-5p,hsa-mir-134,SOX17
hsa-miR-134-5p,hsa-mir-134,ABCC1
hsa-miR-134-3p,hsa-mir-134,WNK2
