mature_mirna_id,miRNA_short_lower,target_symbol
hsa-miR-141-3p,hsa-mir-141,S100A6
hsa-miR-200b-3p,hsa-mir-200b,ERRFI1
hsa-miR-200b-3p,hsa-mir-200b,TUBB2A
hsa-miR-148a-3p,hsa-mir-148a,ERRFI1
hsa-miR-148a-3p,hsa-mir-148a,KLF6
hsa-miR-148a-3p,hsa-mir-148a,SERPINE1
hsa-miR-148a-3p,hsa-mir-148a,SLC2A3
hsa-miR-429,hsa-mir-429,ERRFI1
hsa-miR-429,hsa-mir-429,TUBB2A
hsa-miR-200c-3p,hsa-mir-200c,ERRFI1
hsa-miR-200c-3p,hsa-mir-200c,DUSP1
hsa-miR-200c-3p,hsa-mir-200c,TUBB2A
hsa-miR-181c-5p,hsa-mir-181c,KLF6
hsa-miR-181c-5p,hsa-mir-181c,SERPINE1
hsa-miR-181c-5p,hsa-mir-181c,TUBB2A
hsa-miR-148a-5p,hsa-mir-148a,CCDC80
hsa-miR-200b-5p,hsa-mir-200b,KLF6
