"miRNA","logFC","AveExpr","t","P.Value","adj.P.Val","B","miRNA_lower"
"hsa-mir-93",0.715001518926487,12.681820025031,5.36465698702751,1.61856304217178e-07,5.30888677832343e-05,7.01353430554549,"hsa-mir-93"
"hsa-mir-141",1.7376149946625,9.00545969632922,4.91929768111891,1.43071073293226e-06,0.000220904837443081,4.9809287400407,"hsa-mir-141"
"hsa-mir-20b",1.45352562019815,4.94473508852386,4.84586319156727,2.02047107417453e-06,0.000220904837443081,4.6600002241952,"hsa-mir-20b"
"hsa-mir-20a",0.7634828885647,8.83008564813774,4.76788851830255,2.90189340549338e-06,0.000237955259250457,4.32372721065765,"hsa-mir-20a"
"hsa-mir-106a",1.11937587410016,3.63289368640439,4.69167345739057,4.11546792634954e-06,0.000242009679265341,3.99955261496043,"hsa-mir-106a"
"hsa-mir-128-1",0.616113161988024,5.69521791723163,4.65763173333542,4.80363184230249e-06,0.000242009679265341,3.85620806593716,"hsa-mir-128-1"
"hsa-mir-183",1.14613812642247,10.9098397751186,4.61749799426487,5.75758840429248e-06,0.000242009679265341,3.68836587389858,"hsa-mir-183"
"hsa-mir-92a-1",0.579817724328022,12.5700344399883,4.59436003673517,6.38779841075266e-06,0.000242009679265341,3.59217096357195,"hsa-mir-92a-1"
"hsa-mir-92a-2",0.578132565524039,12.5694652007193,4.58569360315617,6.6405094920368e-06,0.000242009679265341,3.55624819773083,"hsa-mir-92a-2"
"hsa-mir-200c",1.62089525752302,11.589922676254,4.51690629905458,9.01674696359062e-06,0.000286910553302778,3.27320613549276,"hsa-mir-200c"
"hsa-mir-128-2",0.602423925895232,5.68810171214046,4.5021895176907,9.62200026320291e-06,0.000286910553302778,3.21313253977984,"hsa-mir-128-2"
"hsa-mir-651",0.674028261848732,2.42022438864365,4.45293461695758,1.19444474831547e-05,0.000326481564539561,3.01331638979319,"hsa-mir-651"
"hsa-mir-96",0.922533459281038,4.03300791287255,4.13224590268325,4.65912310405597e-05,0.00101879491875357,1.75963350849125,"hsa-mir-96"
"hsa-mir-9-1",1.39902147460439,8.19309767975693,3.95501073272663,9.54491070455217e-05,0.00184160630064301,1.10249178981789,"hsa-mir-9-1"
"hsa-mir-17",0.509003111556587,9.11078851258506,3.88302586534804,0.000126806266086997,0.00218941833524036,0.842970787185588,"hsa-mir-17"
"hsa-mir-9-3",1.37652312552778,8.19456876426233,3.88298601422825,0.000126826062102338,0.00218941833524036,0.842828303991133,"hsa-mir-9-3"
"hsa-mir-9-2",1.36326459327648,8.1941090060658,3.84475208795334,0.000147228963807913,0.00241455500644978,0.706735014968768,"hsa-mir-9-2"
"hsa-mir-182",0.830857430269576,12.6103750297651,3.71141449400021,0.000245406168504007,0.00383301063187211,0.241665818916508,"hsa-mir-182"
"hsa-mir-29a",-0.586216557022597,11.5104517959778,-3.68833513517251,0.000267702915739506,0.003991207107389,0.162680872415955,"hsa-mir-29a"
"hsa-mir-18a",0.738580879624446,3.8477587205343,3.67395607762961,0.000282544998624614,0.00402933737169014,0.113697969015423,"hsa-mir-18a"
"hsa-mir-155",0.65180256295617,6.98339574875029,3.62873853737716,0.000334427620369673,0.0043876903792501,-0.0392003793125317,"hsa-mir-155"
"hsa-mir-363",0.861211968021699,3.21093091574977,3.5862805690483,0.00039118741403868,0.00493497968479566,-0.181192613873297,"hsa-mir-363"
"hsa-mir-629",0.622623648805726,6.22514235569866,3.52708934752902,0.000485539777068358,0.00582272282848439,-0.376591154497071,"hsa-mir-629"
"hsa-let-7e",-0.505919879488338,9.22530486406575,-3.48545885366709,0.000564251653308916,0.00638188076845947,-0.512230895850588,"hsa-let-7e"
"hsa-mir-146b",0.585703407249635,8.77307813000166,3.37156078579203,0.000844897762860009,0.00863745316176372,-0.875745144758745,"hsa-mir-146b"
"hsa-mir-708",0.626262392615346,5.59284842030726,3.34498718884526,0.000926911715480314,0.00863745316176372,-0.958951318975708,"hsa-mir-708"
"hsa-mir-34c",0.730775082987897,3.12147586485397,3.25490304828263,0.00126337689478083,0.010650171316015,-1.23647536428385,"hsa-mir-34c"
"hsa-mir-4661",0.53669283381392,1.8122407713252,3.25421602870147,0.00126633134550178,0.010650171316015,-1.23856484484032,"hsa-mir-4661"
"hsa-mir-146a",0.665808539839163,6.46754974242239,3.23022557073876,0.00137361008620931,0.0112636027069164,-1.31127138900187,"hsa-mir-146a"
"hsa-mir-4772",0.502954519703691,2.49765110453992,3.09096475201591,0.00218142448016696,0.0162615279430628,-1.7234048889611,"hsa-mir-4772"
"hsa-mir-10a",-0.7716737915342,12.9566832246152,-2.90278077716914,0.00397152199476294,0.022459641625556,-2.25324364559949,"hsa-mir-10a"
"hsa-mir-335",0.602523998585339,6.32135945326245,2.46513379830922,0.0142533147410814,0.0599370158342912,-3.36323526407336,"hsa-mir-335"
"hsa-mir-150",0.545648150710804,7.96156049051781,2.4135291420303,0.01639493865417,0.0666423103496196,-3.48270998435597,"hsa-mir-150"
"hsa-mir-215",-0.742041067079448,2.23976205849393,-2.40686701048168,0.0166911703472504,0.0667646813890014,-3.49795717671815,"hsa-mir-215"
"hsa-mir-485",0.635956355352375,2.42566147900798,2.30588857241756,0.0217952718343222,0.0768693458242763,-3.72409303099442,"hsa-mir-485"
"hsa-mir-381",0.671284704835889,5.22941975838001,2.17028816884421,0.0307655195627776,0.101930206228193,-4.0130463638191,"hsa-mir-381"
