mature_mirna_id,miRNA_short_lower,target_symbol
hsa-let-7e-5p,hsa-let-7e,MYCN
hsa-let-7e-5p,hsa-let-7e,IGF2BP1
hsa-let-7e-5p,hsa-let-7e,HMGA1
hsa-let-7e-5p,hsa-let-7e,MMP9
hsa-let-7e-5p,hsa-let-7e,AURKB
hsa-let-7e-5p,hsa-let-7e,LEFTY1
hsa-let-7e-5p,hsa-let-7e,ACTA1
hsa-let-7e-5p,hsa-let-7e,DSP
hsa-let-7e-5p,hsa-let-7e,NR6A1
hsa-let-7e-5p,hsa-let-7e,GPM6B
hsa-let-7e-5p,hsa-let-7e,PGD
hsa-let-7e-5p,hsa-let-7e,PHKA1
hsa-let-7e-5p,hsa-let-7e,PMAIP1
hsa-let-7e-5p,hsa-let-7e,RRM2
hsa-let-7e-5p,hsa-let-7e,CDCA3
hsa-let-7e-5p,hsa-let-7e,PEG10
hsa-let-7e-5p,hsa-let-7e,TRIM71
hsa-miR-10a-5p,hsa-mir-10a,BIRC5
hsa-miR-10a-5p,hsa-mir-10a,CDC6
hsa-miR-10a-5p,hsa-mir-10a,ORC1
hsa-miR-10a-5p,hsa-mir-10a,PYGL
hsa-miR-10a-5p,hsa-mir-10a,SLC2A3
hsa-miR-10a-5p,hsa-mir-10a,TFAP2C
hsa-miR-10a-5p,hsa-mir-10a,TIAM1
hsa-miR-10a-5p,hsa-mir-10a,E2F7
hsa-miR-10a-5p,hsa-mir-10a,LHFPL4
hsa-miR-10a-5p,hsa-mir-10a,RESF1
hsa-miR-29a-3p,hsa-mir-29a,MYCN
hsa-miR-29a-3p,hsa-mir-29a,DNMT3B
hsa-miR-29a-3p,hsa-mir-29a,FSCN1
hsa-miR-29a-3p,hsa-mir-29a,CCNA2
hsa-miR-29a-3p,hsa-mir-29a,NASP
hsa-miR-29a-3p,hsa-mir-29a,CDC7
hsa-miR-29a-3p,hsa-mir-29a,TET1
hsa-miR-29a-3p,hsa-mir-29a,CBX2
hsa-miR-29a-5p,hsa-mir-29a,PMAIP1
hsa-miR-29a-5p,hsa-mir-29a,RCC2
hsa-miR-215-3p,hsa-mir-215,FOXM1
hsa-miR-215-3p,hsa-mir-215,ZWINT
hsa-miR-215-5p,hsa-mir-215,TTK
hsa-miR-215-5p,hsa-mir-215,LMNB1
hsa-miR-215-5p,hsa-mir-215,CENPF
hsa-miR-215-5p,hsa-mir-215,CCNE1
hsa-miR-215-5p,hsa-mir-215,DTL
hsa-miR-215-5p,hsa-mir-215,MCM10
hsa-miR-215-5p,hsa-mir-215,CDCA4
hsa-miR-215-5p,hsa-mir-215,BUB1B
hsa-miR-215-5p,hsa-mir-215,CDC20
hsa-miR-215-5p,hsa-mir-215,CENPA
hsa-miR-215-5p,hsa-mir-215,GPC4
hsa-miR-215-5p,hsa-mir-215,MSH6
hsa-miR-215-5p,hsa-mir-215,KIFC1
hsa-miR-215-5p,hsa-mir-215,ORC1
hsa-miR-215-5p,hsa-mir-215,RAD51
hsa-miR-215-5p,hsa-mir-215,UNG
hsa-miR-215-5p,hsa-mir-215,UPP1
hsa-miR-215-5p,hsa-mir-215,CDC7
hsa-miR-215-5p,hsa-mir-215,DLGAP5
hsa-miR-215-5p,hsa-mir-215,TROAP
hsa-miR-215-5p,hsa-mir-215,KIF20A
hsa-miR-215-5p,hsa-mir-215,TFCP2L1
hsa-miR-215-5p,hsa-mir-215,ERCC6L
hsa-miR-215-5p,hsa-mir-215,HJURP
hsa-miR-215-5p,hsa-mir-215,PIF1
hsa-miR-215-5p,hsa-mir-215,ASRGL1
hsa-miR-215-5p,hsa-mir-215,NUF2
hsa-miR-215-5p,hsa-mir-215,PCSK9
