mature_mirna_id,miRNA_short_lower,target_symbol
hsa-miR-141-3p,hsa-mir-141,GATA6
hsa-miR-141-3p,hsa-mir-141,TM4SF1
hsa-miR-141-3p,hsa-mir-141,S100A6
hsa-miR-17-5p,hsa-mir-17,CLU
hsa-miR-17-5p,hsa-mir-17,GATA6
hsa-miR-17-5p,hsa-mir-17,FTH1
hsa-miR-17-5p,hsa-mir-17,KCND3
hsa-miR-17-5p,hsa-mir-17,TOB1
hsa-miR-17-5p,hsa-mir-17,WWC1
hsa-miR-17-5p,hsa-mir-17,CYBRD1
hsa-miR-17-5p,hsa-mir-17,PTGIS
hsa-miR-17-5p,hsa-mir-17,SQSTM1
hsa-miR-155-5p,hsa-mir-155,EGFR
hsa-miR-155-5p,hsa-mir-155,EEF1A2
hsa-miR-155-5p,hsa-mir-155,MET
hsa-miR-155-5p,hsa-mir-155,ANPEP
hsa-miR-155-5p,hsa-mir-155,CRAT
hsa-miR-155-5p,hsa-mir-155,NT5E
hsa-miR-155-5p,hsa-mir-155,OLR1
hsa-miR-155-5p,hsa-mir-155,RAB27B
hsa-miR-155-5p,hsa-mir-155,TSPAN3
hsa-miR-155-5p,hsa-mir-155,EHD1
hsa-miR-155-5p,hsa-mir-155,WWC1
hsa-miR-155-5p,hsa-mir-155,CAB39L
hsa-miR-155-5p,hsa-mir-155,CHRDL1
hsa-miR-155-5p,hsa-mir-155,AGRN
hsa-miR-20a-5p,hsa-mir-20a,GATA6
hsa-miR-20a-5p,hsa-mir-20a,KCND3
hsa-miR-20a-5p,hsa-mir-20a,TIMP2
hsa-miR-20a-5p,hsa-mir-20a,SELENBP1
hsa-miR-20a-5p,hsa-mir-20a,WWC1
hsa-miR-20a-5p,hsa-mir-20a,CRIM1
hsa-miR-20a-5p,hsa-mir-20a,CYBRD1
hsa-miR-20a-5p,hsa-mir-20a,PTGIS
hsa-miR-20a-5p,hsa-mir-20a,SQSTM1
hsa-miR-106a-5p,hsa-mir-106a,GATA6
hsa-miR-106a-5p,hsa-mir-106a,KCND3
hsa-miR-106a-5p,hsa-mir-106a,TIMP2
hsa-miR-106a-5p,hsa-mir-106a,WWC1
hsa-miR-106a-5p,hsa-mir-106a,PTGIS
hsa-miR-93-5p,hsa-mir-93,LATS2
hsa-miR-93-5p,hsa-mir-93,GATA6
hsa-miR-93-5p,hsa-mir-93,DAB2
hsa-miR-93-5p,hsa-mir-93,KCND3
hsa-miR-93-5p,hsa-mir-93,WWC1
hsa-miR-93-5p,hsa-mir-93,CYBRD1
hsa-miR-93-5p,hsa-mir-93,PTGIS
hsa-miR-93-5p,hsa-mir-93,SQSTM1
hsa-miR-20b-5p,hsa-mir-20b,GATA6
hsa-miR-20b-5p,hsa-mir-20b,KCND3
hsa-miR-20b-5p,hsa-mir-20b,WWC1
hsa-miR-20b-5p,hsa-mir-20b,CRIM1
hsa-miR-20b-5p,hsa-mir-20b,CYBRD1
hsa-miR-20b-5p,hsa-mir-20b,PTGIS
hsa-miR-20b-5p,hsa-mir-20b,SQSTM1
hsa-miR-96-5p,hsa-mir-96,NFIC
hsa-miR-96-5p,hsa-mir-96,HOXA5
hsa-miR-335-5p,hsa-mir-335,EGFR
hsa-miR-335-5p,hsa-mir-335,MBNL2
hsa-miR-335-5p,hsa-mir-335,MUC1
hsa-miR-335-5p,hsa-mir-335,RHOB
hsa-miR-335-5p,hsa-mir-335,CFB
hsa-miR-335-5p,hsa-mir-335,CYP3A5
hsa-miR-335-5p,hsa-mir-335,DAB2
hsa-miR-335-5p,hsa-mir-335,MUC5AC
hsa-miR-335-5p,hsa-mir-335,PDK4
hsa-miR-335-5p,hsa-mir-335,PPP1R3C
hsa-miR-335-5p,hsa-mir-335,PTPRH
hsa-miR-335-5p,hsa-mir-335,RARRES2
hsa-miR-335-5p,hsa-mir-335,SLPI
hsa-miR-335-5p,hsa-mir-335,SNCG
hsa-miR-335-5p,hsa-mir-335,SEMA3B
hsa-miR-335-5p,hsa-mir-335,ABCC3
hsa-miR-335-5p,hsa-mir-335,SELENBP1
hsa-miR-335-5p,hsa-mir-335,CLIC3
hsa-miR-335-5p,hsa-mir-335,H6PD
hsa-miR-335-5p,hsa-mir-335,MSLN
hsa-miR-335-5p,hsa-mir-335,OLFM4
hsa-miR-335-5p,hsa-mir-335,CACNG4
hsa-miR-335-5p,hsa-mir-335,CARNS1
hsa-miR-335-5p,hsa-mir-335,AHNAK
hsa-miR-335-5p,hsa-mir-335,PRR15L
hsa-miR-335-5p,hsa-mir-335,BHLHE41
hsa-miR-335-5p,hsa-mir-335,GALNT12
hsa-miR-335-5p,hsa-mir-335,PLCD3
hsa-miR-335-5p,hsa-mir-335,C1QTNF1
hsa-miR-335-5p,hsa-mir-335,TMEM45B
hsa-miR-335-5p,hsa-mir-335,MISP
hsa-miR-335-5p,hsa-mir-335,PODN
hsa-miR-335-5p,hsa-mir-335,ZNF467
hsa-miR-335-5p,hsa-mir-335,ZBTB7C
hsa-miR-335-5p,hsa-mir-335,ZCCHC24
hsa-miR-335-5p,hsa-mir-335,RSPO1
hsa-miR-335-5p,hsa-mir-335,CRB2
hsa-miR-335-5p,hsa-mir-335,VTN
hsa-miR-335-5p,hsa-mir-335,CDHR5
hsa-miR-335-5p,hsa-mir-335,CALB2
hsa-miR-335-5p,hsa-mir-335,TCEA3
hsa-miR-335-5p,hsa-mir-335,MUC6
hsa-miR-335-5p,hsa-mir-335,RASA3
