"miRNA","logFC","AveExpr","t","P.Value","adj.P.Val","B","miRNA_lower"
"hsa-mir-187",1.44760059179399,2.46998092427193,3.96593552590194,0.000111027302850959,0.0364169553351147,1.04851701302742,"hsa-mir-187"
"hsa-mir-141",1.86808492270469,7.40181871637285,3.50200771764797,0.000602158315832787,0.0782993537157984,-0.408941450957849,"hsa-mir-141"
"hsa-mir-200c",2.01191729229964,10.209635510084,3.45189513380234,0.000716152625449375,0.0782993537157984,-0.557338906544036,"hsa-mir-200c"
"hsa-mir-203a",1.9591526353313,9.67302110553142,3.12444588933114,0.00212374144344565,0.139317438690035,-1.48184222817636,"hsa-mir-203a"
"hsa-mir-539",-0.542515902401489,2.27350357571404,-2.54495921325758,0.0118977453721346,0.266308111882799,-2.91770598199478,"hsa-mir-539"
"hsa-mir-182",0.953467395000452,11.216202772951,2.42854488430959,0.0162940002052369,0.266308111882799,-3.174012622023,"hsa-mir-182"
"hsa-mir-96",0.620575870130964,2.86428774870067,2.42576213736531,0.0164147736166989,0.266308111882799,-3.18000434111696,"hsa-mir-96"
"hsa-mir-29c",0.509940666500919,9.34297617693015,2.40890984619701,0.017163283166643,0.266308111882799,-3.21615485526694,"hsa-mir-29c"
"hsa-mir-200a",1.14923430700373,7.16281477792937,2.30978546582722,0.0222083839136833,0.299925496213057,-3.42407185350564,"hsa-mir-200a"
"hsa-mir-183",1.01049512687351,9.29275008707485,2.29698950750738,0.022946470235744,0.299925496213057,-3.4503215466478,"hsa-mir-183"
"hsa-let-7c",-0.601748592424934,9.87893708907697,-2.28311352520007,0.0237710831693766,0.299925496213057,-3.47863364133535,"hsa-let-7c"
"hsa-mir-432",-0.510442899475321,2.69210812530202,-2.19893998980316,0.0293512051181024,0.34096734256376,-3.64695105559002,"hsa-mir-432"
"hsa-mir-135b",0.690935135095293,3.5003851277322,2.18468258749485,0.0304013552231133,0.34096734256376,-3.67487599804145,"hsa-mir-135b"
"hsa-mir-429",0.914096619725789,5.4679996888145,2.07522040729227,0.0396043898009549,0.369358369118874,-3.8835923600163,"hsa-mir-429"
"hsa-mir-99a",-0.569607769899039,8.35353936745535,-2.07085724847155,0.0400160768594081,0.369358369118874,-3.89170272726433,"hsa-mir-99a"
"hsa-mir-200b",1.02674973545031,7.16097228469576,2.06536679809831,0.040539333195974,0.369358369118874,-3.90188568439405,"hsa-mir-200b"
"hsa-mir-451a",0.643480777183404,6.60107984958582,2.04612008842613,0.0424200952423033,0.373528619872732,-3.93738064204662,"hsa-mir-451a"
