mature_mirna_id,miRNA_short_lower,target_symbol
hsa-miR-141-3p,hsa-mir-141,SUSD2
hsa-miR-200b-3p,hsa-mir-200b,FN1
hsa-miR-200b-3p,hsa-mir-200b,LOX
hsa-miR-200b-3p,hsa-mir-200b,FERMT2
hsa-miR-96-5p,hsa-mir-96,PODXL
hsa-miR-96-5p,hsa-mir-96,CPE
hsa-miR-96-5p,hsa-mir-96,LOX
hsa-miR-429,hsa-mir-429,TIMP2
hsa-miR-29c-3p,hsa-mir-29c,SPARC
hsa-miR-29c-3p,hsa-mir-29c,FBN1
hsa-miR-29c-3p,hsa-mir-29c,ITGB1
hsa-miR-29c-3p,hsa-mir-29c,LOX
hsa-miR-182-5p,hsa-mir-182,PODXL
hsa-miR-182-5p,hsa-mir-182,CPE
hsa-miR-182-5p,hsa-mir-182,ITGB1
hsa-miR-182-5p,hsa-mir-182,LOX
hsa-miR-182-5p,hsa-mir-182,PDK4
hsa-miR-200c-3p,hsa-mir-200c,FN1
hsa-miR-200c-3p,hsa-mir-200c,TIMP2
hsa-miR-200c-3p,hsa-mir-200c,FERMT2
hsa-miR-183-5p,hsa-mir-183,ITGB1
hsa-miR-183-5p,hsa-mir-183,AKAP12
hsa-miR-183-3p,hsa-mir-183,ITGB1
hsa-miR-200b-5p,hsa-mir-200b,PMEPA1
hsa-miR-200a-5p,hsa-mir-200a,PMEPA1
hsa-miR-203a-3p,hsa-mir-203a,GXYLT2
