"mRNA","logFC","AveExpr","t","P.Value","adj.P.Val","B","mRNA_clean","hgnc_symbol"
"ENSG00000127946.17",0.552489932741936,3.00586300157447,4.65145092572717,6.93217954388408e-06,0.0358997102062855,3.34049769629813,"ENSG00000127946","HIP1"
"ENSG00000254910.1",0.531125145016288,1.57890547541113,4.62651789549599,7.70812265361679e-06,0.0358997102062855,3.25020723745212,"ENSG00000254910","ENSG00000254910"
"ENSG00000163993.7",-2.24743634497875,4.73178958667403,-4.60215863500005,8.54679192491123e-06,0.0358997102062855,3.16233822818116,"ENSG00000163993","S100P"
"ENSG00000178381.12",-0.602449594258906,3.2126603256298,-4.44140519952909,1.67379643158549e-05,0.050353117094768,2.59110118527695,"ENSG00000178381","ZFAND2A"
"ENSG00000114473.14",0.542679536661071,1.9220326722222,4.41436462722861,1.87109023060657e-05,0.050353117094768,2.4965063366195,"ENSG00000114473","IQCG"
"ENSG00000107331.17",0.547861946314851,2.60312142098675,4.29054215203258,3.09770420289826e-05,0.0577126121493814,2.06894782590577,"ENSG00000107331","ABCA2"
"ENSG00000162738.6",0.834452823432735,3.6196221546022,4.18571057459899,4.70937312958775e-05,0.0718340783896779,1.71427034101644,"ENSG00000162738","VANGL2"
"ENSG00000139209.16",-0.535071108159957,0.605068114259398,-4.14669252315773,5.49361275335844e-05,0.0718340783896779,1.58399877174781,"ENSG00000139209","SLC38A4"
"ENSG00000070404.10",-0.935903838535752,3.24049659743567,-4.10279822463218,6.52497821871558e-05,0.0718340783896779,1.43858650806359,"ENSG00000070404","FSTL3"
"ENSG00000147509.14",-0.543953831759724,0.716023042117911,-4.01746944439204,9.08245304811789e-05,0.0800662407483836,1.15939843851965,"ENSG00000147509","RGS20"
"ENSG00000020633.19",0.695877150541296,2.57761915454793,3.9867428322671,0.000102185800620638,0.0800662407483836,1.06000206960755,"ENSG00000020633","RUNX3"
"ENSG00000187479.8",-0.813080095052641,2.59911072519916,-3.974687916215,0.000107002900163351,0.0800662407483836,1.02117190581975,"ENSG00000187479","C11orf96"
"ENSG00000165238.16",0.59775371913539,1.86127825577903,3.91614049980959,0.000133638727348986,0.092477999325498,0.833921223349766,"ENSG00000165238","WNK2"
"ENSG00000066405.13",-0.910351307999498,0.511870431993358,-3.85387449520964,0.000168834853524,0.102229503808782,0.637228248691171,"ENSG00000066405","CLDN18"
"ENSG00000188322.8",0.917437041875344,3.04012259675293,3.84501227538435,0.000174508565558349,0.102841338200649,0.609440088925058,"ENSG00000188322","SBK1"
"ENSG00000073849.16",0.717043066256355,2.85686690454206,3.8391847401549,0.000178337580694767,0.102841338200649,0.591195619074939,"ENSG00000073849","ST6GAL1"
"ENSG00000148468.17",0.928683056979481,3.23204719919895,3.81238401208928,0.000196997039096156,0.107159292595461,0.507578421745427,"ENSG00000148468","FAM171A1"
"ENSG00000275993.3",-0.626075516357497,1.56808641369081,-3.74026944038651,0.000256832845804987,0.112343105720833,0.284952881259027,"ENSG00000275993","ENSG00000275993"
"ENSG00000172379.21",0.70114751221636,2.08062921521078,3.73232197383521,0.000264391289268681,0.112343105720833,0.260630714019515,"ENSG00000172379","ARNT2"
"ENSG00000197019.5",-0.546924556781751,3.84039139708417,-3.66457150680786,0.000337935981766937,0.127848756823276,0.0550157974020022,"ENSG00000197019","SERTAD1"
"ENSG00000175592.9",-1.04800933487512,2.63277226994248,-3.65609695469454,0.000348390501665409,0.127848756823276,0.0295149082187764,"ENSG00000175592","FOSL1"
"ENSG00000106366.9",-1.16079721508749,4.08107476023911,-3.64288718905733,0.000365297599808006,0.131053879698222,-0.0101374779329344,"ENSG00000106366","SERPINE1"
