"miRNA","logFC","AveExpr","t","P.Value","adj.P.Val","B","miRNA_lower"
"hsa-mir-31",-1.06392976538246,2.81131030872029,-3.22927311812303,0.00150610951710226,0.450643797975527,-2.01998617579053,"hsa-mir-31"
"hsa-mir-582",-0.798139434632049,6.1772665164211,-2.97889995985061,0.00334377237090721,0.450643797975527,-2.45640449134225,"hsa-mir-582"
"hsa-mir-181d",0.612937810736791,3.7701520514601,2.8466944531576,0.00499683060137974,0.450643797975527,-2.67474749775613,"hsa-mir-181d"
"hsa-mir-10b",0.812221513374349,14.7846927597438,2.81470657280285,0.00549565607287228,0.450643797975527,-2.72629221360755,"hsa-mir-10b"
"hsa-mir-1287",0.503891119104522,4.07960662781521,2.63858122635979,0.00914789859275594,0.500085123070658,-3.00097657397946,"hsa-mir-1287"
"hsa-mir-181c",0.537985205644241,5.5124220361962,2.44953138817377,0.015382502574279,0.644589264379765,-3.27830716572211,"hsa-mir-181c"
"hsa-mir-99a",0.600101697957595,8.48235219990752,2.32007745422287,0.0215998561406251,0.676467656140785,-3.45751575813334,"hsa-mir-99a"
"hsa-mir-508",0.946118642646758,3.28365062834334,2.27590961551225,0.0241777894049211,0.676467656140785,-3.51663850324899,"hsa-mir-508"
"hsa-mir-187",0.740942309708562,3.19610152756646,2.12750793430329,0.0349101886750589,0.685267720877594,-3.70765825514439,"hsa-mir-187"
"hsa-mir-218-2",0.557916971293289,3.97921324686092,2.05902921026365,0.0411122113256581,0.685267720877594,-3.79179715877595,"hsa-mir-218-2"
