"mRNA","logFC","AveExpr","t","P.Value","adj.P.Val","B","mRNA_clean","hgnc_symbol"
"ENSG00000157693.15",0.50568225559689,2.57975508770482,4.76428322264304,4.92389103746823e-06,0.109650088680964,2.65064621442779,"ENSG00000157693","TMEM268"
"ENSG00000184163.3",-0.673067219993535,1.23837620674635,-4.61881661923093,9.05450773583515e-06,0.109650088680964,2.2130358215618,"ENSG00000184163","C1QTNF12"
"ENSG00000158825.6",-1.11195770649043,3.38507997577828,-3.9199374854571,0.00014159653134071,0.416419250966653,0.240698795210395,"ENSG00000158825","CDA"
"ENSG00000140279.13",-1.66695341733306,2.87128065982272,-3.86039020579092,0.00017644056887586,0.416419250966653,0.0834035400830677,"ENSG00000140279","DUOX2"
"ENSG00000015520.15",-0.940811888605041,1.30963134114186,-3.80872945451989,0.000213140159587656,0.416419250966653,-0.0516009645356963,"ENSG00000015520","NPC1L1"
"ENSG00000102886.15",-0.606770554882757,2.02025463724532,-3.79827806381567,0.000221398308999368,0.416419250966653,-0.0787471810891995,"ENSG00000102886","GDPD3"
"ENSG00000123838.11",-0.846963763360552,1.23475079818734,-3.78352586948221,0.000233573161781019,0.416419250966653,-0.116968420869406,"ENSG00000123838","C4BPA"
"ENSG00000125266.8",-0.619421161679142,3.42629901145665,-3.74658240306213,0.000266910686602414,0.416419250966653,-0.212190397095141,"ENSG00000125266","EFNB2"
"ENSG00000164690.8",-0.905287462187566,1.60943160230267,-3.73556005139049,0.00027770041667491,0.416419250966653,-0.240463097940793,"ENSG00000164690","SHH"
"ENSG00000140274.14",-1.4171301999993,2.20124746502885,-3.72128982286557,0.000292284362775933,0.416419250966653,-0.276972438414759,"ENSG00000140274","DUOXA2"
"ENSG00000147206.17",-0.631972403312815,0.613200163371868,-3.67249838392683,0.000347822002326354,0.434960393057003,-0.400993802189143,"ENSG00000147206","NXF3"
"ENSG00000115718.18",-0.656019086249767,1.14903202480595,-3.64183696669679,0.000387681808803225,0.434960393057003,-0.478287016594857,"ENSG00000115718","PROC"
"ENSG00000166415.15",-0.814293814702444,1.61953074265858,-3.63646745412607,0.000395092016814783,0.434960393057003,-0.49177136245634,"ENSG00000166415","WDR72"
"ENSG00000167105.8",-0.745898469303343,2.1461755251547,-3.60338739403404,0.000443779988991446,0.447847972223867,-0.574504690746636,"ENSG00000167105","TMEM92"
"ENSG00000161714.12",-0.68685165313614,3.767295105544,-3.51930190258351,0.000594267309785271,0.46784881106249,-0.782147031538429,"ENSG00000161714","PLCD3"
"ENSG00000189280.3",-0.977385811737515,1.63795766651531,-3.51708729260096,0.000598815571549843,0.46784881106249,-0.78756388692574,"ENSG00000189280","GJB5"
"ENSG00000144749.14",0.58973433184967,3.66391254960356,3.49000214289178,0.000657158871359977,0.483890308444703,-0.853595811436986,"ENSG00000144749","LRIG1"
"ENSG00000268621.6",-0.614037654584244,0.584029368916823,-3.46201482859933,0.00072303452579955,0.483890308444703,-0.92140334789229,"ENSG00000268621","IGFL2-AS1"
"ENSG00000124102.5",-1.89737898721795,5.57297002047391,-3.43124090867871,0.000802608133095585,0.501041171269047,-0.995462170407398,"ENSG00000124102","PI3"
"ENSG00000125968.9",-0.946357224653569,5.9568781519564,-3.39917927462188,0.000894206577309579,0.501041171269047,-1.07205942443554,"ENSG00000125968","ID1"
"ENSG00000264281.3",-0.625079972582238,3.62936788693697,-3.39687713614176,0.000901147318055829,0.501041171269047,-1.07753727272677,"ENSG00000264281","ENSG00000264281"
"ENSG00000148702.15",-0.941775382985736,1.40348160332966,-3.37795571745262,0.000960137056941102,0.507986862375882,-1.1224474459771,"ENSG00000148702","HABP2"
"ENSG00000229807.12",0.813225649150124,1.06015072160402,3.36737537233168,0.000994680145583899,0.508686484484423,-1.14747229547667,"ENSG00000229807","XIST"
"ENSG00000179241.13",0.568909058144118,2.43664587954508,3.30159437204256,0.00123692963726098,0.508686484484423,-1.30163876668021,"ENSG00000179241","LDLRAD3"
"ENSG00000173597.9",-0.829218219798665,1.73723734339781,-3.27592642854306,0.0013456077283994,0.508686484484423,-1.36112702611664,"ENSG00000173597","SULT1B1"
"ENSG00000160791.13",0.525393166893222,1.56096438108946,3.27434054210355,0.00135260637894888,0.508686484484423,-1.36479011894635,"ENSG00000160791","CCR5"
"ENSG00000113494.17",0.739566355482205,1.43676323070625,3.26963907384335,0.00137355443585348,0.508686484484423,-1.37564112846681,"ENSG00000113494","PRLR"
"ENSG00000188910.8",-0.956272438400448,3.26409623783784,-3.25943306637785,0.00142007451079962,0.508686484484423,-1.39915295474606,"ENSG00000188910","GJB3"
"ENSG00000125775.15",-0.938710735515073,3.72804132547644,-3.25473509291699,0.00144197847765583,0.508686484484423,-1.40995566147597,"ENSG00000125775","SDCBP2"
"ENSG00000205002.4",0.805361106563863,0.853004542352374,3.23415557074399,0.00154169195329578,0.508686484484423,-1.45712715782261,"ENSG00000205002","AARD"
"ENSG00000114737.16",0.516847596083365,2.31227553348508,3.23055065687857,0.00155980641366178,0.508686484484423,-1.46536502313436,"ENSG00000114737","CISH"
"ENSG00000106258.15",-0.794109243212712,2.599605398014,-3.21217804528931,0.00165524666509579,0.508686484484423,-1.50723283697241,"ENSG00000106258","CYP3A5"
"ENSG00000104537.17",-0.859189923162965,1.80937181636468,-3.21205466473521,0.00165590557795233,0.508686484484423,-1.50751333733744,"ENSG00000104537","ANXA13"
"ENSG00000157303.11",0.888468929382529,2.66240324253683,3.2061374862471,0.00168779428726201,0.508686484484423,-1.52095541391831,"ENSG00000157303","SUSD3"
"ENSG00000177459.11",-0.717586802695355,1.47343995281282,-3.20367688147447,0.00170122234695451,0.508686484484423,-1.52653919317972,"ENSG00000177459","ERICH5"
"ENSG00000196139.14",-0.860475943752959,3.77460601798646,-3.17857849281302,0.00184398183285767,0.512621395627502,-1.5832929824923,"ENSG00000196139","AKR1C3"
"ENSG00000119632.4",-0.530747899421648,3.60610248249328,-3.17677163090054,0.00185467730790587,0.512621395627502,-1.58736458264841,"ENSG00000119632","IFI27L2"
"ENSG00000100219.16",0.717437731958784,6.72523793755948,3.17358245266855,0.00187369599123505,0.512621395627502,-1.59454645489962,"ENSG00000100219","XBP1"
"ENSG00000171791.14",0.510241588672016,1.3408117467348,3.17191634689414,0.00188370372464276,0.512621395627502,-1.59829607975147,"ENSG00000171791","BCL2"
"ENSG00000198734.12",-0.831975277525567,1.57783366589283,-3.14509419248746,0.0020518041288927,0.528666978742352,-1.65843654441004,"ENSG00000198734","F5"
"ENSG00000125170.11",-0.539666738012932,3.72733313108646,-3.11612499232137,0.00224892650648563,0.561536082341051,-1.72291638248917,"ENSG00000125170","DOK4"
"ENSG00000134398.15",-1.0863291921599,3.16254606032685,-3.09203605268914,0.002426053818225,0.58633246139725,-1.7761564980431,"ENSG00000134398","ERN2"
"ENSG00000144063.4",-0.634209619669449,1.89751414256432,-3.08954760375777,0.00244506930640472,0.58633246139725,-1.78163675465781,"ENSG00000144063","MALL"
"ENSG00000196260.5",-0.967575538570205,1.92805083659947,-3.06416080559563,0.00264710012024866,0.597476389643409,-1.83733536022474,"ENSG00000196260","SFTA2"
"ENSG00000108846.16",-0.747279294932285,3.91412491927534,-3.06375409544045,0.00265045888033094,0.597476389643409,-1.83822456085338,"ENSG00000108846","ABCC3"
"ENSG00000189433.7",-0.583491315485217,1.21666280863966,-3.06328820402889,0.00265431122168893,0.597476389643409,-1.83924302981605,"ENSG00000189433","GJB4"
"ENSG00000151632.17",-0.842960303990327,1.44956228659525,-3.06209252210511,0.00266422172095327,0.597476389643409,-1.84185627631971,"ENSG00000151632","AKR1C2"
"ENSG00000074276.10",-0.993158170659007,2.32087168272569,-3.04558812807275,0.00280455985693012,0.602346096379698,-1.87784063755232,"ENSG00000074276","CDHR2"
"ENSG00000164120.14",-0.826108482910084,2.54691658968485,-3.02093326340546,0.00302695914939396,0.614617993561104,-1.9312919160665,"ENSG00000164120","HPGD"
"ENSG00000153294.12",-0.543140433003205,1.01034493361718,-3.01773394399052,0.00305698222901151,0.614617993561104,-1.93820126147295,"ENSG00000153294","ADGRF4"
"ENSG00000108602.18",-0.996034116568548,2.07415484597054,-3.00299398659836,0.0031988852705534,0.616340256504038,-1.96995463748124,"ENSG00000108602","ALDH3A1"
"ENSG00000136689.19",-0.842778934968542,3.53398865935563,-2.99942083483356,0.00323418667571892,0.616340256504038,-1.97763236531185,"ENSG00000136689","IL1RN"
"ENSG00000114854.8",-0.703798736712518,1.64721345252926,-2.99177952228501,0.00331088788099786,0.616340256504038,-1.99402563439087,"ENSG00000114854","TNNC1"
"ENSG00000176454.14",-0.518387306358047,3.85613047911704,-2.97384249229585,0.00349756297190022,0.63217145656286,-2.03236829186369,"ENSG00000176454","LPCAT4"
"ENSG00000109255.11",-0.771987475532821,2.41351999642809,-2.96493921101223,0.00359377569928054,0.634895835935427,-2.05132789529415,"ENSG00000109255","NMU"
"ENSG00000196208.14",0.535382178846671,0.896076387256239,2.96003353090141,0.00364782319988513,0.634895835935427,-2.06175405061354,"ENSG00000196208","GREB1"
"ENSG00000118513.19",0.721225783212343,2.61348124673642,2.9563125004151,0.00368931649168575,0.634895835935427,-2.06965270628754,"ENSG00000118513","MYB"
"ENSG00000010438.17",-1.15841488488979,3.98515274145725,-2.94185909161384,0.00385463675998766,0.634895835935427,-2.1002532728165,"ENSG00000010438","PRSS3"
"ENSG00000088386.17",-0.703357268124424,1.29355653049793,-2.92797973105103,0.00401977132245437,0.634895835935427,-2.1295188270537,"ENSG00000088386","SLC15A1"
